
--------------- Linear optimization problem characteristics ---------------
Seed:                    25
Number of variables:     4
Number of constraints:   2

Norm of primal sol:      3.09e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        8.77e+00

Norm of matrix A:        1.00e+00
Condition number:        4.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.535 -0.258 +0.276 +0.558]
                          [-0.514 -0.046 +0.004 +0.235]]

RHS vector b:            [-1.313 -1.509]
Obj vector c:            [+6.222 +5.794 -0.667 -2.033]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+2.940 +0.000 +0.942 +0.000]
Dual slacks:              [+0.000 +4.763 +0.000 +1.521]
Dual variables:           [-2.263 -9.741]

Optimal objective:       +1.76676781e+01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+02

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   8.80529164e+02 -1.81166915e+02  1.30e+01 8.16e+01  1.81e+04 *3.78e-14  1.60e+01 1.00e+00 3.22e+01  7.05e-01 5.82e-01      0s
   1   9.17644741e+02 -1.79636893e+02  1.09e+01 6.89e+01  1.55e+04  1.71e-01  1.72e+01 1.26e+00 5.39e+01  7.35e-01 1.56e-01      1s
   2   9.57101468e+02 -1.73556192e+02  9.00e+00 5.72e+01  1.31e+04  3.99e-01  1.93e+01 1.54e+00 6.45e+01  7.83e-01 1.70e-01      1s
   3   1.00391375e+03 -1.59445222e+02  6.90e+00 4.41e+01  1.04e+04  1.45e-01  2.21e+01 1.94e+00 7.56e+01  8.51e-01 2.29e-01      2s
   4   1.05633834e+03 -1.37569281e+02  4.58e+00 3.07e+01  7.59e+03  7.68e-01  2.62e+01 2.65e+00 8.84e+01  9.17e-01 3.03e-01      2s
   5   1.09801801e+03 -8.86280438e+01  1.82e+00 1.31e+01  3.81e+03  2.25e-01  3.22e+01 4.03e+00 1.02e+02  1.00e+00 5.74e-01      3s
   6   9.15159149e+02 -2.75993133e+01  3.24e-03 3.58e-15  9.43e+02  3.24e-03  4.19e+01 8.88e+00 1.00e+02  1.00e+00 1.00e+00      3s
   7   1.17085230e+02 -2.46272341e+01  2.72e-02 4.44e-16  1.41e+02  2.89e-02  4.57e+01 2.30e+01 1.79e+00  1.00e+00 9.45e-01      4s
   8   2.07607339e+01 -2.46272341e+01  1.74e+00 0.00e+00  1.41e+01  1.74e+00  3.14e+01 2.37e+00 1.74e+00  1.00e+00 1.00e+00      4s
   9   1.38791762e+01  7.76024717e-01  1.49e+00 2.52e-15  8.45e+00 *1.91e-02  5.31e+01 4.06e-01 1.97e+00  1.81e-01 1.49e-01      5s
