
--------------- Linear optimization problem characteristics ---------------
Seed:                    11
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        2.84e-02
Norm of vector c:        2.46e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.002 +0.004 -0.001 ... -0.002 -0.008 -0.004]
                          [+0.012 +0.008 +0.004 ... +0.001 +0.007 +0.010]]

RHS vector b:            [+0.004 -0.028]
Obj vector c:            [-0.021 -0.019 -0.005 ... +0.002 -0.001 -0.011]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.006 +0.001 +0.016 ... +0.026 +0.025 +0.003]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [-1.250 -1.561]

Optimal objective:       +3.84530473e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   4.09545800e+01  0.00000000e+00  8.92e+00 6.99e+00  7.72e+03  8.91e+00  4.00e+00 1.00e+00 8.91e+00  9.97e-01 9.93e-01     36s
   1  -6.50895904e+01  0.00000000e+00  5.16e+01 5.07e+00  5.73e+03  2.12e+02  3.96e+00 1.65e+02 2.12e+02  5.70e-01 2.75e-01    103s
   2  -8.11667300e+01  0.00000000e+00  6.11e+01 4.93e+00  5.59e+03  4.08e+02  3.91e+00 2.57e+02 4.08e+02  4.07e-01 2.64e-02    151s
   3  -9.61933384e+01  0.00000000e+00  6.99e+01 4.82e+00  5.47e+03  4.37e+02  3.91e+00 2.69e+02 4.37e+02  3.91e-01 2.35e-02    202s
   4  -1.10498808e+02  0.00000000e+00  7.83e+01 4.72e+00  5.37e+03  4.63e+02  3.90e+00 2.81e+02 4.63e+02  3.77e-01 2.13e-02    243s
   5  -1.24155478e+02  0.00000000e+00  8.63e+01 4.62e+00  5.27e+03  4.90e+02  3.90e+00 2.92e+02 4.90e+02  3.63e-01 1.95e-02    285s
   6  -1.37218092e+02  0.00000000e+00  9.39e+01 4.54e+00  5.19e+03  5.15e+02  3.89e+00 3.02e+02 5.15e+02  3.50e-01 1.79e-02    327s
   7  -1.49713468e+02  0.00000000e+00  1.01e+02 4.47e+00  5.11e+03  5.40e+02  3.89e+00 3.13e+02 5.40e+02  3.38e-01 1.64e-02    378s
   8  -1.61692417e+02  0.00000000e+00  1.08e+02 4.40e+00  5.04e+03  5.65e+02  3.88e+00 3.23e+02 5.65e+02  3.27e-01 1.51e-02    422s
   9  -1.73202618e+02  0.00000000e+00  1.15e+02 4.34e+00  4.98e+03  5.89e+02  3.88e+00 3.33e+02 5.89e+02  3.17e-01 1.40e-02    464s
