
--------------- Linear optimization problem characteristics ---------------
Seed:                    14
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.33e-02
Norm of vector c:        2.27e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.005 -0.013 +0.011 ... +0.016 -0.001 -0.005]
                          [+0.002 -0.003 -0.001 ... -0.000 -0.003 +0.007]]

RHS vector b:            [-0.011 -0.007]
Obj vector c:            [-0.003 +0.012 -0.002 ... -0.006 +0.006 -0.010]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.018 +0.027 +0.030 ... +0.032 +0.008 +0.016]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [-0.434 -1.952]

Optimal objective:       +1.84422195e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   3.27095846e+01  0.00000000e+00  5.43e+00 5.35e+00  5.92e+03  5.43e+00  4.00e+00 1.00e+00 5.43e+00  9.98e-01 9.95e-01     46s
   1  -4.26890862e+01  0.00000000e+00  3.47e+01 4.02e+00  4.53e+03  1.53e+02  3.91e+00 2.14e+02 1.53e+02  5.59e-01 2.50e-01    114s
   2  -5.50550836e+01  0.00000000e+00  4.15e+01 3.91e+00  4.42e+03  2.83e+02  3.80e+00 3.15e+02 2.83e+02  4.11e-01 2.75e-02    151s
   3  -6.63954117e+01  0.00000000e+00  4.78e+01 3.81e+00  4.32e+03  3.04e+02  3.78e+00 3.30e+02 3.04e+02  3.95e-01 2.40e-02    195s
   4  -7.71690659e+01  0.00000000e+00  5.38e+01 3.73e+00  4.24e+03  3.24e+02  3.77e+00 3.43e+02 3.24e+02  3.80e-01 2.18e-02    236s
   5  -8.74332303e+01  0.00000000e+00  5.95e+01 3.65e+00  4.16e+03  3.44e+02  3.76e+00 3.56e+02 3.44e+02  3.66e-01 1.99e-02    278s
   6  -9.72313732e+01  0.00000000e+00  6.51e+01 3.59e+00  4.09e+03  3.63e+02  3.75e+00 3.69e+02 3.63e+02  3.53e-01 1.82e-02    317s
   7  -1.06604419e+02  0.00000000e+00  7.03e+01 3.53e+00  4.03e+03  3.82e+02  3.74e+00 3.82e+02 3.82e+02  3.41e-01 1.67e-02    359s
   8  -1.15572796e+02  0.00000000e+00  7.54e+01 3.47e+00  3.98e+03  4.01e+02  3.73e+00 3.94e+02 4.01e+02  3.30e-01 1.54e-02    401s
   9  -1.24173830e+02  0.00000000e+00  8.03e+01 3.42e+00  3.93e+03  4.19e+02  3.72e+00 4.06e+02 4.19e+02  3.20e-01 1.43e-02    438s
  10  -1.32425812e+02  0.00000000e+00  8.51e+01 3.38e+00  3.88e+03  4.37e+02  3.72e+00 4.17e+02 4.37e+02  3.10e-01 1.32e-02    476s
  11  -1.40362414e+02  0.00000000e+00  8.96e+01 3.34e+00  3.84e+03  4.55e+02  3.72e+00 4.29e+02 4.55e+02  3.00e-01 1.23e-02    514s
  12  -1.47999671e+02  0.00000000e+00  9.40e+01 3.30e+00  3.80e+03  4.72e+02  3.71e+00 4.40e+02 4.72e+02  2.92e-01 1.15e-02    555s
  13  -1.55360435e+02  0.00000000e+00  9.82e+01 3.26e+00  3.76e+03  4.89e+02  3.71e+00 4.51e+02 4.89e+02  2.84e-01 1.08e-02    603s
  14  -1.62459095e+02  0.00000000e+00  1.02e+02 3.23e+00  3.72e+03  5.06e+02  3.71e+00 4.62e+02 5.06e+02  2.76e-01 1.01e-02    686s
  15  -1.69302620e+02  0.00000000e+00  1.06e+02 3.20e+00  3.69e+03  5.23e+02  3.71e+00 4.72e+02 5.23e+02  2.68e-01 9.46e-03    756s
  16  -1.75924585e+02  0.00000000e+00  1.10e+02 3.17e+00  3.66e+03  5.39e+02  3.72e+00 4.83e+02 5.39e+02  2.61e-01 8.91e-03    806s
  17  -1.82317563e+02  0.00000000e+00  1.14e+02 3.14e+00  3.63e+03  5.56e+02  3.72e+00 4.93e+02 5.56e+02  2.55e-01 8.38e-03    854s
  18  -1.88512663e+02  0.00000000e+00  1.18e+02 3.12e+00  3.61e+03  5.72e+02  3.72e+00 5.03e+02 5.72e+02  2.48e-01 7.93e-03    894s
  19  -1.94508628e+02  0.00000000e+00  1.21e+02 3.10e+00  3.58e+03  5.87e+02  3.72e+00 5.13e+02 5.87e+02  2.42e-01 7.49e-03    936s
  20  -2.00322284e+02  0.00000000e+00  1.24e+02 3.07e+00  3.56e+03  6.03e+02  3.73e+00 5.23e+02 6.03e+02  2.37e-01 7.10e-03    979s
  21  -2.05963751e+02  0.00000000e+00  1.28e+02 3.05e+00  3.54e+03  6.18e+02  3.73e+00 5.33e+02 6.18e+02  2.31e-01 6.74e-03   1021s
  22  -2.11431717e+02  0.00000000e+00  1.31e+02 3.03e+00  3.52e+03  6.34e+02  3.74e+00 5.42e+02 6.34e+02  2.26e-01 6.39e-03   1064s
  23  -2.16746632e+02  0.00000000e+00  1.34e+02 3.02e+00  3.50e+03  6.49e+02  3.74e+00 5.52e+02 6.49e+02  2.21e-01 6.08e-03   1127s
  24  -2.21912041e+02  0.00000000e+00  1.37e+02 3.00e+00  3.48e+03  6.63e+02  3.75e+00 5.61e+02 6.63e+02  2.16e-01 5.79e-03   1181s
  25  -2.26936525e+02  0.00000000e+00  1.40e+02 2.98e+00  3.46e+03  6.78e+02  3.76e+00 5.70e+02 6.78e+02  2.12e-01 5.53e-03   1224s
  26  -2.31818462e+02  0.00000000e+00  1.43e+02 2.97e+00  3.45e+03  6.93e+02  3.77e+00 5.79e+02 6.93e+02  2.07e-01 5.27e-03   1262s
  27  -2.36575654e+02  0.00000000e+00  1.46e+02 2.95e+00  3.43e+03  7.07e+02  3.77e+00 5.88e+02 7.07e+02  2.03e-01 5.04e-03   1305s
  28  -2.41206189e+02  0.00000000e+00  1.49e+02 2.94e+00  3.42e+03  7.21e+02  3.78e+00 5.97e+02 7.21e+02  1.99e-01 4.82e-03   1349s
  29  -2.45722066e+02  0.00000000e+00  1.51e+02 2.92e+00  3.40e+03  7.35e+02  3.79e+00 6.06e+02 7.35e+02  1.95e-01 4.61e-03   1393s
  30  -2.50121350e+02  0.00000000e+00  1.54e+02 2.91e+00  3.39e+03  7.49e+02  3.80e+00 6.15e+02 7.49e+02  1.91e-01 4.42e-03   1434s
  31  -2.54411027e+02  0.00000000e+00  1.57e+02 2.90e+00  3.38e+03  7.63e+02  3.81e+00 6.24e+02 7.63e+02  1.88e-01 4.24e-03   1477s
  32  -2.58597729e+02  0.00000000e+00  1.59e+02 2.89e+00  3.36e+03  7.76e+02  3.82e+00 6.32e+02 7.76e+02  1.84e-01 4.07e-03   1545s
  33  -2.62683670e+02  0.00000000e+00  1.62e+02 2.87e+00  3.35e+03  7.90e+02  3.83e+00 6.41e+02 7.90e+02  1.81e-01 3.91e-03   1617s
  34  -2.66671049e+02  0.00000000e+00  1.64e+02 2.86e+00  3.34e+03  8.03e+02  3.84e+00 6.49e+02 8.03e+02  1.78e-01 3.76e-03   1696s
  35  -2.70569840e+02  0.00000000e+00  1.66e+02 2.85e+00  3.33e+03  8.16e+02  3.85e+00 6.58e+02 8.16e+02  1.75e-01 3.62e-03   1739s
  36  -2.74381821e+02  0.00000000e+00  1.69e+02 2.84e+00  3.32e+03  8.29e+02  3.86e+00 6.66e+02 8.29e+02  1.72e-01 3.48e-03   1782s
  37  -2.78105033e+02  0.00000000e+00  1.71e+02 2.83e+00  3.31e+03  8.42e+02  3.87e+00 6.74e+02 8.42e+02  1.69e-01 3.35e-03   1820s
  38  -2.81748690e+02  0.00000000e+00  1.73e+02 2.83e+00  3.30e+03  8.55e+02  3.88e+00 6.82e+02 8.55e+02  1.66e-01 3.24e-03   1856s
  39  -2.85310792e+02  0.00000000e+00  1.75e+02 2.82e+00  3.29e+03  8.68e+02  3.89e+00 6.90e+02 8.68e+02  1.63e-01 3.12e-03   1895s
  40  -2.88800034e+02  0.00000000e+00  1.77e+02 2.81e+00  3.28e+03  8.80e+02  3.90e+00 6.98e+02 8.80e+02  1.61e-01 3.02e-03   1933s
  41  -2.92214377e+02  0.00000000e+00  1.79e+02 2.80e+00  3.27e+03  8.93e+02  3.91e+00 7.06e+02 8.93e+02  1.58e-01 2.91e-03   1973s
  42  -2.95555344e+02  0.00000000e+00  1.81e+02 2.79e+00  3.26e+03  9.05e+02  3.92e+00 7.14e+02 9.05e+02  1.56e-01 2.81e-03   2011s
  43  -2.98830988e+02  0.00000000e+00  1.83e+02 2.78e+00  3.26e+03  9.17e+02  3.94e+00 7.22e+02 9.17e+02  1.53e-01 2.72e-03   2054s
  44  -3.02039296e+02  0.00000000e+00  1.85e+02 2.78e+00  3.25e+03  9.29e+02  3.95e+00 7.30e+02 9.29e+02  1.51e-01 2.63e-03   2096s
  45  -3.05184741e+02  0.00000000e+00  1.87e+02 2.77e+00  3.24e+03  9.41e+02  3.96e+00 7.37e+02 9.41e+02  1.49e-01 2.55e-03   2138s
  46  -3.08268498e+02  0.00000000e+00  1.89e+02 2.76e+00  3.23e+03  9.53e+02  3.97e+00 7.45e+02 9.53e+02  1.47e-01 2.47e-03   2181s
  47  -3.11291731e+02  0.00000000e+00  1.91e+02 2.76e+00  3.23e+03  9.65e+02  3.98e+00 7.53e+02 9.65e+02  1.45e-01 2.40e-03   2224s
  48  -3.14258555e+02  0.00000000e+00  1.93e+02 2.75e+00  3.22e+03  9.77e+02  4.00e+00 7.60e+02 9.77e+02  1.42e-01 2.32e-03   2264s
  49  -2.94566291e+02  1.53555277e-03  1.81e+02 2.58e+00  3.04e+03 *8.89e-01  4.01e+00 7.68e+02 9.88e+02  5.68e-01 6.28e-02   2305s
  50  -2.98082776e+02  1.53555277e-03  1.83e+02 2.57e+00  3.03e+03  9.02e+02  3.92e+00 7.76e+02 9.02e+02  1.59e-01 2.99e-03   2348s
  51  -3.01472380e+02  1.53555277e-03  1.85e+02 2.56e+00  3.02e+03  9.15e+02  3.93e+00 7.85e+02 9.15e+02  1.56e-01 2.84e-03   2390s
  52  -3.04795788e+02  1.53555277e-03  1.87e+02 2.56e+00  3.01e+03  9.27e+02  3.95e+00 7.94e+02 9.27e+02  1.54e-01 2.75e-03   2431s
  53  -3.08050949e+02  1.53555277e-03  1.89e+02 2.55e+00  3.01e+03  9.39e+02  3.96e+00 8.02e+02 9.39e+02  1.52e-01 2.66e-03   2470s
  54  -3.11242393e+02  1.53555277e-03  1.91e+02 2.54e+00  3.00e+03  9.52e+02  3.97e+00 8.11e+02 9.52e+02  1.49e-01 2.58e-03   2513s
  55  -3.14368176e+02  1.53555277e-03  1.93e+02 2.54e+00  2.99e+03  9.64e+02  3.98e+00 8.19e+02 9.64e+02  1.47e-01 2.49e-03   2551s
  56  -3.17435738e+02  1.53555277e-03  1.95e+02 2.53e+00  2.99e+03  9.76e+02  3.99e+00 8.28e+02 9.76e+02  1.45e-01 2.42e-03   2586s
  57  -2.96904750e+02  2.99189689e-03  1.82e+02 2.37e+00  2.81e+03 *7.42e-01  4.01e+00 8.36e+02 9.88e+02  5.74e-01 6.48e-02   2621s
  58  -3.00523198e+02  2.99189689e-03  1.84e+02 2.36e+00  2.80e+03  8.99e+02  3.92e+00 8.46e+02 8.99e+02  1.62e-01 3.10e-03   2669s
  59  -3.04042918e+02  2.99189689e-03  1.87e+02 2.35e+00  2.80e+03  9.12e+02  3.93e+00 8.56e+02 9.12e+02  1.60e-01 2.97e-03   2752s
  60  -3.07487170e+02  2.99189689e-03  1.89e+02 2.34e+00  2.79e+03  9.24e+02  3.94e+00 8.66e+02 9.24e+02  1.57e-01 2.87e-03   2834s
  61  -3.10860861e+02  2.99189689e-03  1.91e+02 2.34e+00  2.78e+03  9.37e+02  3.96e+00 8.75e+02 9.37e+02  1.55e-01 2.78e-03   2920s
  62  -3.14168661e+02  2.99189689e-03  1.93e+02 2.33e+00  2.77e+03  9.50e+02  3.97e+00 8.85e+02 9.50e+02  1.52e-01 2.69e-03   2994s
  63  -3.17408534e+02  2.99189689e-03  1.95e+02 2.33e+00  2.77e+03  9.62e+02  3.98e+00 8.94e+02 9.62e+02  1.50e-01 2.60e-03   3078s
  64  -3.20581817e+02  2.99189689e-03  1.97e+02 2.32e+00  2.76e+03  9.74e+02  3.99e+00 9.04e+02 9.74e+02  1.48e-01 2.52e-03   3157s
  65  -2.99139295e+02  4.37131465e-03  1.84e+02 2.16e+00  2.59e+03 *5.31e-01  4.01e+00 9.13e+02 9.86e+02  5.80e-01 6.70e-02   3237s
  66  -3.02924551e+02  4.37131465e-03  1.86e+02 2.16e+00  2.59e+03  8.95e+02  3.92e+00 9.25e+02 8.95e+02  1.66e-01 3.27e-03   3280s
  67  -3.06581003e+02  4.37131465e-03  1.88e+02 2.15e+00  2.58e+03  9.09e+02  3.93e+00 9.37e+02 9.09e+02  1.63e-01 3.11e-03   3322s
  68  -3.10159269e+02  4.37131465e-03  1.90e+02 2.14e+00  2.57e+03  9.22e+02  3.94e+00 9.47e+02 9.22e+02  1.61e-01 3.01e-03   3363s
