
--------------- Linear optimization problem characteristics ---------------
Seed:                    15
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.27e-02
Norm of vector c:        2.25e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.010 -0.010 -0.011 ... +0.008 +0.011 +0.014]
                          [+0.015 -0.004 -0.012 ... +0.010 +0.016 +0.014]]

RHS vector b:            [+0.011 +0.006]
Obj vector c:            [-0.009 -0.006 +0.004 ... -0.005 -0.010 -0.002]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.029 +0.006 +0.002 ... +0.032 +0.002 +0.015]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.322 -1.501]

Optimal objective:       +5.09447745e-03
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.58419359e+01 -1.56732422e-01  3.20e-01 4.34e+01  4.76e+04 *2.81e-15  4.00e+00 1.00e+00 8.10e+00  9.78e-01 9.57e-01     38s
   1  -4.10421537e+00 -1.56732422e-01  2.85e+01 3.83e+01  4.24e+04  2.45e+02  3.82e+00 2.75e+01 2.45e+02  5.00e-01 1.17e-01    116s
   2  -1.39420676e+01 -1.56732422e-01  3.80e+01 3.71e+01  4.12e+04  3.33e+02  3.70e+00 3.32e+01 3.33e+02  4.34e-01 3.12e-02    198s
   3  -2.32047628e+01 -1.56732422e-01  4.70e+01 3.61e+01  4.02e+04  3.62e+02  3.66e+00 3.50e+01 3.62e+02  4.15e-01 2.76e-02    275s
   4  -3.20485179e+01 -1.56732422e-01  5.55e+01 3.52e+01  3.93e+04  3.91e+02  3.63e+00 3.68e+01 3.91e+02  3.99e-01 2.49e-02    346s
   5  -4.05128292e+01 -1.56732422e-01  6.37e+01 3.44e+01  3.85e+04  4.18e+02  3.59e+00 3.85e+01 4.18e+02  3.83e-01 2.25e-02    418s
   6  -4.86353424e+01 -1.56732422e-01  7.15e+01 3.37e+01  3.78e+04  4.45e+02  3.55e+00 4.01e+01 4.45e+02  3.69e-01 2.05e-02    498s
   7  -5.64439470e+01 -1.56732422e-01  7.90e+01 3.31e+01  3.71e+04  4.72e+02  3.52e+00 4.18e+01 4.72e+02  3.56e-01 1.88e-02    553s
   8  -6.39578355e+01 -1.56732422e-01  8.62e+01 3.25e+01  3.66e+04  4.98e+02  3.49e+00 4.33e+01 4.98e+02  3.44e-01 1.72e-02    597s
   9  -7.12029432e+01 -1.56732422e-01  9.31e+01 3.20e+01  3.60e+04  5.23e+02  3.45e+00 4.49e+01 5.23e+02  3.32e-01 1.58e-02    641s
  10  -7.81899280e+01 -1.56732422e-01  9.98e+01 3.15e+01  3.56e+04  5.48e+02  3.42e+00 4.64e+01 5.48e+02  3.21e-01 1.46e-02    685s
  11  -8.49497334e+01 -1.56732422e-01  1.06e+02 3.11e+01  3.51e+04  5.73e+02  3.39e+00 4.79e+01 5.73e+02  3.11e-01 1.36e-02    728s
  12  -9.14787109e+01 -1.56732422e-01  1.12e+02 3.07e+01  3.47e+04  5.97e+02  3.36e+00 4.93e+01 5.97e+02  3.02e-01 1.26e-02    765s
  13  -9.78059134e+01 -1.56732422e-01  1.18e+02 3.03e+01  3.44e+04  6.21e+02  3.33e+00 5.07e+01 6.21e+02  2.93e-01 1.17e-02    844s
  14  -1.03940186e+02 -1.56732422e-01  1.24e+02 3.00e+01  3.40e+04  6.45e+02  3.30e+00 5.21e+01 6.45e+02  2.85e-01 1.10e-02    885s
  15  -1.09890203e+02 -1.56732422e-01  1.30e+02 2.97e+01  3.37e+04  6.68e+02  3.27e+00 5.35e+01 6.68e+02  2.77e-01 1.03e-02    930s
  16  -1.15664441e+02 -1.56732422e-01  1.35e+02 2.94e+01  3.34e+04  6.91e+02  3.25e+00 5.48e+01 6.91e+02  2.69e-01 9.63e-03    975s
  17  -1.21276765e+02 -1.56732422e-01  1.40e+02 2.91e+01  3.31e+04  7.13e+02  3.22e+00 5.61e+01 7.13e+02  2.62e-01 9.05e-03   1018s
  18  -1.26740377e+02 -1.56732422e-01  1.45e+02 2.89e+01  3.29e+04  7.35e+02  3.20e+00 5.74e+01 7.35e+02  2.55e-01 8.53e-03   1061s
  19  -1.32051881e+02 -1.56732422e-01  1.50e+02 2.87e+01  3.26e+04  7.57e+02  3.17e+00 5.87e+01 7.57e+02  2.49e-01 8.04e-03   1106s
  20  -1.37229154e+02 -1.56732422e-01  1.55e+02 2.84e+01  3.24e+04  7.78e+02  3.15e+00 5.99e+01 7.78e+02  2.43e-01 7.60e-03   1146s
  21  -1.42273936e+02 -1.56732422e-01  1.60e+02 2.82e+01  3.22e+04  8.00e+02  3.12e+00 6.11e+01 8.00e+02  2.37e-01 7.19e-03   1220s
  22  -1.47188098e+02 -1.56732422e-01  1.64e+02 2.81e+01  3.20e+04  8.21e+02  3.10e+00 6.23e+01 8.21e+02  2.31e-01 6.81e-03   1310s
  23  -1.51988005e+02 -1.56732422e-01  1.69e+02 2.79e+01  3.18e+04  8.41e+02  3.08e+00 6.35e+01 8.41e+02  2.26e-01 6.47e-03   1390s
  24  -1.56670391e+02 -1.56732422e-01  1.73e+02 2.77e+01  3.16e+04  8.62e+02  3.05e+00 6.46e+01 8.62e+02  2.21e-01 6.15e-03   1435s
  25  -1.61246116e+02 -1.56732422e-01  1.77e+02 2.75e+01  3.15e+04  8.82e+02  3.03e+00 6.58e+01 8.82e+02  2.16e-01 5.85e-03   1481s
  26  -1.65716566e+02 -1.56732422e-01  1.81e+02 2.74e+01  3.13e+04  9.02e+02  3.01e+00 6.69e+01 9.02e+02  2.12e-01 5.57e-03   1526s
  27  -2.36603085e+01  2.21510153e-02  3.05e+01 4.60e+00  5.70e+03  1.25e+00  2.99e+00 6.80e+01 9.22e+02  8.79e-01 8.32e-01   1564s
  28  -5.25001010e+00  1.10342017e-02  1.00e+01 1.53e+00  2.02e+03 *1.91e+00  4.06e+00 2.88e+02 2.50e+02  9.58e-01 6.68e-01   1601s
  29   7.86033288e+00  1.10342017e-02  6.80e+00 1.45e+00  1.92e+03  3.07e+02  3.97e+00 9.43e+02 3.07e+02  5.23e-01 5.30e-02   1643s
  30   2.00101015e+01  1.10342017e-02  2.23e+01 1.38e+00  1.85e+03  3.55e+02  3.94e+00 1.03e+03 3.55e+02  4.96e-01 4.45e-02   1681s
  31   3.16495658e+01  1.10342017e-02  3.71e+01 1.33e+00  1.78e+03  4.00e+02  3.92e+00 1.11e+03 4.00e+02  4.73e-01 3.91e-02   1723s
  32   4.27858753e+01  1.10342017e-02  5.12e+01 1.28e+00  1.72e+03  4.45e+02  3.89e+00 1.18e+03 4.45e+02  4.51e-01 3.45e-02   1763s
  33   5.34664183e+01  1.10342017e-02  6.47e+01 1.24e+00  1.68e+03  4.90e+02  3.87e+00 1.26e+03 4.90e+02  4.32e-01 3.07e-02   1805s
  34   6.37409322e+01  1.10342017e-02  7.76e+01 1.21e+00  1.63e+03  5.34e+02  3.85e+00 1.34e+03 5.34e+02  4.14e-01 2.76e-02   1847s
  35   7.36201682e+01  1.10342017e-02  9.00e+01 1.18e+00  1.60e+03  5.77e+02  3.83e+00 1.41e+03 5.77e+02  3.97e-01 2.48e-02   1886s
  36   8.31463529e+01  1.10342017e-02  1.02e+02 1.15e+00  1.57e+03  6.20e+02  3.81e+00 1.49e+03 6.20e+02  3.82e-01 2.25e-02   1927s
  37   9.23335988e+01  1.10342017e-02  1.13e+02 1.13e+00  1.54e+03  6.62e+02  3.79e+00 1.56e+03 6.62e+02  3.68e-01 2.05e-02   1970s
  38   1.01215041e+02  1.10342017e-02  1.24e+02 1.11e+00  1.51e+03  7.04e+02  3.78e+00 1.64e+03 7.04e+02  3.54e-01 1.87e-02   2012s
  39   1.09805934e+02  1.10342017e-02  1.35e+02 1.09e+00  1.49e+03  7.46e+02  3.76e+00 1.71e+03 7.46e+02  3.42e-01 1.72e-02   2051s
