
--------------- Linear optimization problem characteristics ---------------
Seed:                    19
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        2.00e-02
Norm of vector c:        2.46e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.008 +0.014 -0.012 ... +0.005 -0.003 +0.011]
                          [-0.001 +0.007 -0.001 ... -0.002 -0.001 +0.001]]

RHS vector b:            [-0.014 +0.015]
Obj vector c:            [-0.013 +0.029 -0.018 ... +0.005 -0.006 +0.017]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.003 +0.026 +0.009 ... +0.012 +0.007 +0.029]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.422 +1.407]

Optimal objective:       +1.27563069e-03
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   1.98433936e+01 -3.83250009e-01  4.35e-01 5.46e+01  5.98e+04  2.51e-15  4.00e+00 1.00e+00 9.40e+00  9.71e-01 9.45e-01     67s
   1   1.67059252e+01 -3.83250009e-01  9.15e+00 5.21e+01  5.73e+04  2.08e+02  3.94e+00 2.18e+01 2.08e+02  4.88e-01 4.60e-02    148s
   2   1.41472250e+01 -3.83250009e-01  1.74e+01 5.02e+01  5.54e+04  2.35e+02  3.94e+00 2.33e+01 2.35e+02  4.64e-01 3.65e-02    221s
   3   1.18211278e+01 -3.83250009e-01  2.53e+01 4.86e+01  5.38e+04  2.60e+02  3.93e+00 2.47e+01 2.60e+02  4.43e-01 3.24e-02    311s
   4   9.70689945e+00 -3.83250009e-01  3.27e+01 4.72e+01  5.24e+04  2.83e+02  3.93e+00 2.61e+01 2.83e+02  4.25e-01 2.90e-02    394s
   5   7.77726315e+00 -3.83250009e-01  3.99e+01 4.59e+01  5.11e+04  3.07e+02  3.93e+00 2.74e+01 3.07e+02  4.08e-01 2.61e-02    480s
   6   6.01379766e+00 -3.83250009e-01  4.67e+01 4.49e+01  5.00e+04  3.29e+02  3.93e+00 2.87e+01 3.29e+02  3.92e-01 2.36e-02    525s
   7   4.39977539e+00 -3.83250009e-01  5.32e+01 4.39e+01  4.91e+04  3.52e+02  3.93e+00 3.00e+01 3.52e+02  3.77e-01 2.14e-02    565s
   8   2.91861361e+00 -3.83250009e-01  5.95e+01 4.30e+01  4.82e+04  3.74e+02  3.93e+00 3.12e+01 3.74e+02  3.63e-01 1.96e-02    610s
   9   1.55839110e+00 -3.83250009e-01  6.55e+01 4.23e+01  4.74e+04  3.95e+02  3.93e+00 3.24e+01 3.95e+02  3.51e-01 1.79e-02    651s
  10   3.08192710e-01 -3.83250009e-01  7.13e+01 4.16e+01  4.67e+04  4.16e+02  3.94e+00 3.36e+01 4.16e+02  3.39e-01 1.65e-02    707s
  11  -8.44238016e-01 -3.83250009e-01  7.69e+01 4.09e+01  4.61e+04  4.37e+02  3.94e+00 3.48e+01 4.37e+02  3.28e-01 1.52e-02    770s
  12  -1.90644074e+00 -3.83250009e-01  8.22e+01 4.04e+01  4.55e+04  4.58e+02  3.95e+00 3.59e+01 4.58e+02  3.17e-01 1.41e-02    813s
  13  -2.88643096e+00 -3.83250009e-01  8.74e+01 3.98e+01  4.50e+04  4.78e+02  3.96e+00 3.71e+01 4.78e+02  3.08e-01 1.31e-02    855s
  14  -3.79056019e+00 -3.83250009e-01  9.24e+01 3.94e+01  4.45e+04  4.98e+02  3.97e+00 3.82e+01 4.98e+02  2.99e-01 1.22e-02    892s
  15  -4.62639410e+00 -3.83250009e-01  9.72e+01 3.89e+01  4.40e+04  5.17e+02  3.98e+00 3.93e+01 5.17e+02  2.90e-01 1.14e-02    935s
  16  -5.39906842e+00 -3.83250009e-01  1.02e+02 3.85e+01  4.36e+04  5.37e+02  3.99e+00 4.03e+01 5.37e+02  2.82e-01 1.06e-02    975s
  17   1.53476574e+00  4.24117241e-02  1.68e+01 6.35e+00  7.80e+03 *9.28e-02  4.00e+00 4.14e+01 5.56e+02  8.81e-01 8.35e-01   1016s
  18   1.05427200e+01  4.24117241e-02  2.94e+00 5.79e+00  7.17e+03  1.77e+02  3.92e+00 2.03e+02 1.77e+02  5.49e-01 8.85e-02   1052s
  19   1.58983083e+01  4.24117241e-02  1.14e+01 5.52e+00  6.86e+03  2.25e+02  3.89e+00 2.31e+02 2.25e+02  5.05e-01 4.65e-02   1088s
  20   2.08875423e+01  4.24117241e-02  2.11e+01 5.30e+00  6.61e+03  2.55e+02  3.87e+00 2.48e+02 2.55e+02  4.81e-01 4.06e-02   1129s
  21   2.55461479e+01  4.24117241e-02  3.05e+01 5.11e+00  6.40e+03  2.84e+02  3.85e+00 2.64e+02 2.84e+02  4.59e-01 3.58e-02   1171s
  22   2.99024289e+01  4.24117241e-02  3.94e+01 4.95e+00  6.21e+03  3.13e+02  3.84e+00 2.80e+02 3.13e+02  4.39e-01 3.18e-02   1213s
  23   3.39814009e+01  4.24117241e-02  4.80e+01 4.80e+00  6.05e+03  3.41e+02  3.82e+00 2.96e+02 3.41e+02  4.21e-01 2.85e-02   1251s
  24   3.78044235e+01  4.24117241e-02  5.62e+01 4.68e+00  5.91e+03  3.68e+02  3.81e+00 3.11e+02 3.68e+02  4.04e-01 2.56e-02   1293s
  25   4.13892467e+01  4.24117241e-02  6.40e+01 4.57e+00  5.79e+03  3.96e+02  3.80e+00 3.26e+02 3.96e+02  3.88e-01 2.32e-02   1335s
  26   4.47536470e+01  4.24117241e-02  7.16e+01 4.48e+00  5.68e+03  4.22e+02  3.79e+00 3.41e+02 4.22e+02  3.74e-01 2.11e-02   1376s
  27   4.79212903e+01  4.24117241e-02  7.88e+01 4.39e+00  5.58e+03  4.49e+02  3.79e+00 3.55e+02 4.49e+02  3.60e-01 1.92e-02   1418s
  28   5.09020029e+01  4.24117241e-02  8.58e+01 4.31e+00  5.49e+03  4.75e+02  3.78e+00 3.69e+02 4.75e+02  3.48e-01 1.76e-02   1460s
  29   5.37142911e+01  4.24117241e-02  9.25e+01 4.24e+00  5.41e+03  5.00e+02  3.78e+00 3.83e+02 5.00e+02  3.36e-01 1.62e-02   1502s
  30   5.63645304e+01  4.24117241e-02  9.90e+01 4.18e+00  5.33e+03  5.26e+02  3.78e+00 3.97e+02 5.26e+02  3.25e-01 1.50e-02   1544s
  31   5.88670261e+01  4.24117241e-02  1.05e+02 4.12e+00  5.27e+03  5.51e+02  3.78e+00 4.11e+02 5.51e+02  3.15e-01 1.39e-02   1586s
  32   6.12349769e+01  4.24117241e-02  1.11e+02 4.07e+00  5.21e+03  5.76e+02  3.78e+00 4.25e+02 5.76e+02  3.05e-01 1.29e-02   1625s
  33   6.34760244e+01  4.24117241e-02  1.17e+02 4.02e+00  5.15e+03  6.00e+02  3.78e+00 4.38e+02 6.00e+02  2.96e-01 1.20e-02   1664s
  34   6.55954354e+01  4.24117241e-02  1.23e+02 3.97e+00  5.10e+03  6.24e+02  3.79e+00 4.51e+02 6.24e+02  2.87e-01 1.12e-02   1703s
  35   6.76065926e+01  4.24117241e-02  1.28e+02 3.93e+00  5.05e+03  6.48e+02  3.79e+00 4.64e+02 6.48e+02  2.79e-01 1.05e-02   1755s
  36   6.95138777e+01  4.24117241e-02  1.34e+02 3.89e+00  5.00e+03  6.72e+02  3.80e+00 4.77e+02 6.72e+02  2.72e-01 9.82e-03   1833s
  37   7.13253248e+01  4.24117241e-02  1.39e+02 3.86e+00  4.96e+03  6.96e+02  3.80e+00 4.90e+02 6.96e+02  2.65e-01 9.23e-03   1911s
  38   7.30449024e+01  4.24117241e-02  1.44e+02 3.83e+00  4.92e+03  7.19e+02  3.81e+00 5.03e+02 7.19e+02  2.58e-01 8.68e-03   1983s
  39   7.46798332e+01  4.24117241e-02  1.49e+02 3.79e+00  4.89e+03  7.42e+02  3.82e+00 5.15e+02 7.42e+02  2.51e-01 8.19e-03   2059s
  40   7.62351981e+01  4.24117241e-02  1.53e+02 3.76e+00  4.85e+03  7.65e+02  3.83e+00 5.28e+02 7.65e+02  2.45e-01 7.73e-03   2129s
  41   7.77157847e+01  4.24117241e-02  1.58e+02 3.74e+00  4.82e+03  7.88e+02  3.84e+00 5.40e+02 7.88e+02  2.39e-01 7.32e-03   2204s
  42   7.91260955e+01  4.24117241e-02  1.63e+02 3.71e+00  4.79e+03  8.10e+02  3.85e+00 5.53e+02 8.10e+02  2.34e-01 6.94e-03   2262s
  43   8.04690143e+01  4.24117241e-02  1.67e+02 3.69e+00  4.76e+03  8.32e+02  3.86e+00 5.65e+02 8.32e+02  2.28e-01 6.58e-03   2304s
  44   8.17499386e+01  4.24117241e-02  1.71e+02 3.66e+00  4.73e+03  8.55e+02  3.87e+00 5.77e+02 8.55e+02  2.23e-01 6.25e-03   2344s
  45   8.29713563e+01  4.24117241e-02  1.75e+02 3.64e+00  4.71e+03  8.77e+02  3.88e+00 5.89e+02 8.77e+02  2.18e-01 5.95e-03   2386s
  46   8.41380416e+01  4.24117241e-02  1.80e+02 3.62e+00  4.69e+03  8.98e+02  3.90e+00 6.01e+02 8.98e+02  2.14e-01 5.67e-03   2437s
  47   8.52510096e+01  4.24117241e-02  1.84e+02 3.60e+00  4.66e+03  9.20e+02  3.91e+00 6.13e+02 9.20e+02  2.09e-01 5.40e-03   2480s
  48   8.63135353e+01  4.24117241e-02  1.87e+02 3.58e+00  4.64e+03  9.41e+02  3.92e+00 6.25e+02 9.41e+02  2.05e-01 5.15e-03   2517s
  49   8.73296894e+01  4.24117241e-02  1.91e+02 3.57e+00  4.62e+03  9.63e+02  3.94e+00 6.37e+02 9.63e+02  2.01e-01 4.93e-03   2560s
