
--------------- Linear optimization problem characteristics ---------------
Seed:                    34
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.37e-02
Norm of vector c:        2.78e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.006 -0.011 -0.001 ... -0.003 +0.009 -0.004]
                          [+0.006 +0.005 -0.004 ... -0.008 -0.006 +0.005]]

RHS vector b:            [+0.014 -0.000]
Obj vector c:            [-0.006 -0.016 -0.006 ... -0.013 +0.011 -0.003]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.001 +0.027 +0.003 ... +0.022 +0.032 +0.028]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.793 +0.887]

Optimal objective:       +2.44394790e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.12101829e+01 -9.48853173e-02  2.98e-01 4.41e+01  4.83e+04 *4.44e-16  4.00e+00 1.00e+00 5.94e+00  9.77e-01 9.56e-01     39s
   1  -4.73121093e+00 -9.48853173e-02  1.74e+01 4.05e+01  4.47e+04  2.19e+02  3.89e+00 2.63e+01 2.19e+02  4.93e-01 8.06e-02     79s
   2  -1.68845391e+01 -9.48853173e-02  2.58e+01 3.92e+01  4.34e+04  2.69e+02  3.86e+00 2.96e+01 2.69e+02  4.49e-01 3.33e-02    123s
   3  -2.83330507e+01 -9.48853173e-02  3.37e+01 3.80e+01  4.22e+04  2.93e+02  3.84e+00 3.11e+01 2.93e+02  4.30e-01 2.97e-02    189s
   4  -3.91594413e+01 -9.48853173e-02  4.12e+01 3.70e+01  4.12e+04  3.17e+02  3.83e+00 3.25e+01 3.17e+02  4.12e-01 2.66e-02    265s
   5  -4.94410860e+01 -9.48853173e-02  4.84e+01 3.61e+01  4.03e+04  3.39e+02  3.82e+00 3.39e+01 3.39e+02  3.96e-01 2.41e-02    351s
   6  -5.92008978e+01 -9.48853173e-02  5.53e+01 3.53e+01  3.95e+04  3.61e+02  3.81e+00 3.53e+01 3.61e+02  3.81e-01 2.19e-02    435s
   7  -6.85001615e+01 -9.48853173e-02  6.18e+01 3.46e+01  3.88e+04  3.83e+02  3.80e+00 3.66e+01 3.83e+02  3.67e-01 2.00e-02    517s
   8  -7.73600853e+01 -9.48853173e-02  6.80e+01 3.40e+01  3.82e+04  4.04e+02  3.80e+00 3.79e+01 4.04e+02  3.54e-01 1.83e-02    606s
   9  -8.58275067e+01 -9.48853173e-02  7.40e+01 3.34e+01  3.76e+04  4.24e+02  3.79e+00 3.92e+01 4.24e+02  3.42e-01 1.68e-02    698s
  10  -9.39215410e+01 -9.48853173e-02  7.98e+01 3.29e+01  3.71e+04  4.44e+02  3.79e+00 4.04e+01 4.44e+02  3.31e-01 1.55e-02    752s
  11  -1.01684350e+02 -9.48853173e-02  8.53e+01 3.24e+01  3.66e+04  4.64e+02  3.79e+00 4.16e+01 4.64e+02  3.21e-01 1.44e-02    796s
  12  -1.09125056e+02 -9.48853173e-02  9.06e+01 3.20e+01  3.61e+04  4.83e+02  3.78e+00 4.27e+01 4.83e+02  3.11e-01 1.33e-02    840s
  13  -1.16267565e+02 -9.48853173e-02  9.56e+01 3.16e+01  3.57e+04  5.02e+02  3.78e+00 4.39e+01 5.02e+02  3.02e-01 1.24e-02    891s
  14  -1.23141275e+02 -9.48853173e-02  1.01e+02 3.12e+01  3.54e+04  5.20e+02  3.78e+00 4.50e+01 5.20e+02  2.93e-01 1.16e-02    935s
  15  -1.29753623e+02 -9.48853173e-02  1.05e+02 3.09e+01  3.50e+04  5.38e+02  3.79e+00 4.61e+01 5.38e+02  2.84e-01 1.08e-02    979s
