
--------------- Linear optimization problem characteristics ---------------
Seed:                    48
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        7.52e-03
Norm of vector c:        2.69e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.007 -0.009 -0.001 ... +0.002 +0.013 +0.013]
                          [-0.004 +0.001 -0.005 ... +0.003 +0.008 +0.010]]

RHS vector b:            [+0.005 -0.005]
Obj vector c:            [-0.013 -0.017 +0.001 ... +0.003 +0.023 +0.021]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.001 +0.031 +0.010 ... +0.003 +0.014 +0.019]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.960 -0.398]

Optimal objective:       +1.28053724e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.71578969e+01 -9.11790644e-02  1.41e-01 3.60e+01  3.95e+04 *6.28e-16  4.00e+00 1.00e+00 3.63e+00  9.82e-01 9.64e-01     24s
   1   4.85292066e+00 -9.11790644e-02  1.22e+01 3.32e+01  3.67e+04  1.58e+02  3.76e+00 3.16e+01 1.58e+02  4.94e-01 7.79e-02     48s
   2  -6.13265768e+00 -9.11790644e-02  1.83e+01 3.21e+01  3.56e+04  1.93e+02  3.68e+00 3.51e+01 1.93e+02  4.51e-01 3.38e-02     72s
   3  -1.65048579e+01 -9.11790644e-02  2.41e+01 3.11e+01  3.46e+04  2.11e+02  3.63e+00 3.67e+01 2.11e+02  4.32e-01 3.01e-02     97s
   4  -2.63563105e+01 -9.11790644e-02  2.96e+01 3.03e+01  3.38e+04  2.28e+02  3.59e+00 3.83e+01 2.28e+02  4.15e-01 2.71e-02    121s
   5  -3.57159321e+01 -9.11790644e-02  3.49e+01 2.95e+01  3.30e+04  2.45e+02  3.55e+00 3.98e+01 2.45e+02  3.98e-01 2.44e-02    145s
   6  -4.46396313e+01 -9.11790644e-02  3.99e+01 2.89e+01  3.24e+04  2.61e+02  3.51e+00 4.12e+01 2.61e+02  3.83e-01 2.22e-02    170s
   7  -5.31624768e+01 -9.11790644e-02  4.47e+01 2.83e+01  3.18e+04  2.77e+02  3.47e+00 4.26e+01 2.77e+02  3.69e-01 2.02e-02    194s
   8  -6.13097661e+01 -9.11790644e-02  4.93e+01 2.78e+01  3.12e+04  2.93e+02  3.44e+00 4.39e+01 2.93e+02  3.56e-01 1.85e-02    218s
   9  -6.91138476e+01 -9.11790644e-02  5.37e+01 2.73e+01  3.08e+04  3.08e+02  3.41e+00 4.52e+01 3.08e+02  3.44e-01 1.70e-02    243s
  10  -7.66052340e+01 -9.11790644e-02  5.79e+01 2.69e+01  3.03e+04  3.23e+02  3.38e+00 4.64e+01 3.23e+02  3.33e-01 1.57e-02    267s
  11  -8.37982200e+01 -9.11790644e-02  6.19e+01 2.65e+01  2.99e+04  3.37e+02  3.35e+00 4.75e+01 3.37e+02  3.22e-01 1.45e-02    291s
  12  -9.07207616e+01 -9.11790644e-02  6.58e+01 2.61e+01  2.96e+04  3.51e+02  3.32e+00 4.87e+01 3.51e+02  3.12e-01 1.34e-02    315s
  13  -9.73856903e+01 -9.11790644e-02  6.96e+01 2.58e+01  2.92e+04  3.65e+02  3.29e+00 4.98e+01 3.65e+02  3.03e-01 1.25e-02    340s
  14  -1.03811962e+02 -9.11790644e-02  7.32e+01 2.55e+01  2.89e+04  3.79e+02  3.27e+00 5.08e+01 3.79e+02  2.94e-01 1.17e-02    364s
  15  -1.10011310e+02 -9.11790644e-02  7.66e+01 2.52e+01  2.86e+04  3.93e+02  3.24e+00 5.19e+01 3.93e+02  2.86e-01 1.09e-02    389s
  16  -1.16001086e+02 -9.11790644e-02  8.00e+01 2.50e+01  2.84e+04  4.06e+02  3.22e+00 5.29e+01 4.06e+02  2.78e-01 1.02e-02    413s
  17  -1.21791868e+02 -9.11790644e-02  8.33e+01 2.47e+01  2.81e+04  4.19e+02  3.20e+00 5.39e+01 4.19e+02  2.70e-01 9.59e-03    437s
  18  -1.27393849e+02 -9.11790644e-02  8.64e+01 2.45e+01  2.79e+04  4.32e+02  3.18e+00 5.48e+01 4.32e+02  2.63e-01 9.02e-03    463s
  19  -1.32822256e+02 -9.11790644e-02  8.95e+01 2.43e+01  2.77e+04  4.45e+02  3.16e+00 5.58e+01 4.45e+02  2.57e-01 8.50e-03    487s
  20  -1.38080898e+02 -9.11790644e-02  9.24e+01 2.41e+01  2.75e+04  4.57e+02  3.14e+00 5.67e+01 4.57e+02  2.50e-01 8.02e-03    513s
  21  -1.43183892e+02 -9.11790644e-02  9.53e+01 2.39e+01  2.73e+04  4.69e+02  3.13e+00 5.76e+01 4.69e+02  2.44e-01 7.59e-03    538s
  22  -1.48139565e+02 -9.11790644e-02  9.80e+01 2.37e+01  2.71e+04  4.81e+02  3.11e+00 5.84e+01 4.81e+02  2.38e-01 7.19e-03    563s
  23  -1.52951070e+02 -9.11790644e-02  1.01e+02 2.36e+01  2.69e+04  4.93e+02  3.10e+00 5.93e+01 4.93e+02  2.33e-01 6.82e-03    588s
  24  -1.57626293e+02 -9.11790644e-02  1.03e+02 2.34e+01  2.68e+04  5.05e+02  3.08e+00 6.01e+01 5.05e+02  2.28e-01 6.47e-03    613s
  25  -1.62172763e+02 -9.11790644e-02  1.06e+02 2.33e+01  2.66e+04  5.17e+02  3.07e+00 6.09e+01 5.17e+02  2.22e-01 6.15e-03    638s
  26  -1.66597666e+02 -9.11790644e-02  1.08e+02 2.32e+01  2.65e+04  5.28e+02  3.06e+00 6.18e+01 5.28e+02  2.18e-01 5.86e-03    662s
  27  -1.70907858e+02 -9.11790644e-02  1.11e+02 2.30e+01  2.64e+04  5.39e+02  3.05e+00 6.25e+01 5.39e+02  2.13e-01 5.59e-03    688s
  28  -1.75105677e+02 -9.11790644e-02  1.13e+02 2.29e+01  2.62e+04  5.51e+02  3.04e+00 6.33e+01 5.51e+02  2.09e-01 5.33e-03    713s
  29  -1.79197575e+02 -9.11790644e-02  1.15e+02 2.28e+01  2.61e+04  5.62e+02  3.03e+00 6.41e+01 5.62e+02  2.04e-01 5.09e-03    738s
  30  -1.83185709e+02 -9.11790644e-02  1.18e+02 2.27e+01  2.60e+04  5.72e+02  3.02e+00 6.48e+01 5.72e+02  2.00e-01 4.87e-03    762s
  31  -1.87076140e+02 -9.11790644e-02  1.20e+02 2.26e+01  2.59e+04  5.83e+02  3.01e+00 6.56e+01 5.83e+02  1.96e-01 4.66e-03    787s
  32  -1.44571251e+02 -5.95588897e-02  9.27e+01 1.75e+01  2.05e+04  6.99e-03  3.00e+00 6.63e+01 5.94e+02  8.08e-01 2.26e-01    811s
  33  -1.50914842e+02 -5.95588897e-02  9.63e+01 1.73e+01  2.03e+04  4.47e+02  3.19e+00 8.00e+01 4.47e+02  2.73e-01 1.01e-02    835s
  34  -1.56909415e+02 -5.95588897e-02  9.97e+01 1.71e+01  2.01e+04  4.61e+02  3.17e+00 8.15e+01 4.61e+02  2.66e-01 9.25e-03    860s
  35  -1.62715185e+02 -5.95588897e-02  1.03e+02 1.70e+01  2.00e+04  4.74e+02  3.15e+00 8.29e+01 4.74e+02  2.59e-01 8.71e-03    884s
  36  -1.68341841e+02 -5.95588897e-02  1.06e+02 1.68e+01  1.98e+04  4.88e+02  3.14e+00 8.43e+01 4.88e+02  2.53e-01 8.22e-03    908s
  37  -1.73798700e+02 -5.95588897e-02  1.09e+02 1.67e+01  1.97e+04  5.01e+02  3.12e+00 8.57e+01 5.01e+02  2.46e-01 7.76e-03    933s
