
--------------- Linear optimization problem characteristics ---------------
Seed:                    85
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        3.65e-02
Norm of vector c:        2.52e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.003 -0.010 +0.003 ... -0.002 +0.005 -0.010]
                          [+0.000 -0.011 -0.007 ... +0.002 -0.002 +0.001]]

RHS vector b:            [-0.036 -0.008]
Obj vector c:            [+0.005 -0.020 +0.006 ... -0.003 +0.010 -0.020]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.022 +0.018 +0.010 ... +0.004 +0.017 +0.035]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+1.998 +0.098]

Optimal objective:       -7.18125461e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.37920919e+01 -9.14347802e-01  6.48e-01 5.78e+01  6.33e+04  8.75e-15  4.00e+00 1.00e+00 1.37e+01  9.70e-01 9.42e-01     24s
   1   7.72902576e+01 -9.14347802e-01  2.78e+01 5.19e+01  5.73e+04  2.77e+02  3.89e+00 2.10e+01 2.77e+02  4.95e-01 1.03e-01     48s
   2   9.76410044e+01 -9.14347802e-01  3.86e+01 5.02e+01  5.56e+04  3.65e+02  3.83e+00 2.50e+01 3.65e+02  4.38e-01 3.19e-02     75s
   3   1.17078817e+02 -9.14347802e-01  4.88e+01 4.88e+01  5.42e+04  3.99e+02  3.81e+00 2.65e+01 3.99e+02  4.19e-01 2.84e-02    101s
   4   1.35702575e+02 -9.14347802e-01  5.86e+01 4.75e+01  5.29e+04  4.32e+02  3.79e+00 2.80e+01 4.32e+02  4.02e-01 2.56e-02    128s
   5   1.53575007e+02 -9.14347802e-01  6.80e+01 4.64e+01  5.18e+04  4.64e+02  3.76e+00 2.95e+01 4.64e+02  3.87e-01 2.31e-02    155s
   6   1.70777270e+02 -9.14347802e-01  7.70e+01 4.55e+01  5.08e+04  4.96e+02  3.74e+00 3.09e+01 4.96e+02  3.72e-01 2.10e-02    182s
   7   1.87322341e+02 -9.14347802e-01  8.56e+01 4.46e+01  5.00e+04  5.28e+02  3.73e+00 3.23e+01 5.28e+02  3.59e-01 1.92e-02    210s
   8   2.03274569e+02 -9.14347802e-01  9.39e+01 4.38e+01  4.92e+04  5.59e+02  3.71e+00 3.37e+01 5.59e+02  3.46e-01 1.76e-02    237s
   9   2.18650107e+02 -9.14347802e-01  1.02e+02 4.31e+01  4.84e+04  5.90e+02  3.69e+00 3.51e+01 5.90e+02  3.34e-01 1.62e-02    264s
