
--------------- Linear optimization problem characteristics ---------------
Seed:                    87
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        1.95e-02
Norm of vector c:        2.72e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.010 -0.008 -0.006 ... -0.000 +0.010 +0.007]
                          [+0.012 +0.000 +0.004 ... +0.003 +0.015 -0.006]]

RHS vector b:            [-0.004 +0.019]
Obj vector c:            [+0.025 -0.001 +0.007 ... +0.006 +0.032 -0.010]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.023 +0.033 +0.034 ... +0.002 +0.016 +0.023]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+0.143 +1.995]

Optimal objective:       +3.76264769e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.76823994e+01 -3.57363021e-01  5.30e-01 5.98e+01  6.54e+04  2.44e-15  4.00e+00 1.00e+00 8.24e+00  9.69e-01 9.40e-01     24s
   1  -1.51380866e+01 -3.57363021e-01  2.04e+01 5.37e+01  5.93e+04  2.05e+02  3.75e+00 1.91e+01 2.05e+02  4.93e-01 1.02e-01     50s
   2  -3.05832686e+01 -3.57363021e-01  2.80e+01 5.20e+01  5.77e+04  2.64e+02  3.63e+00 2.19e+01 2.64e+02  4.36e-01 3.13e-02     79s
   3  -4.49857028e+01 -3.57363021e-01  3.52e+01 5.06e+01  5.62e+04  2.86e+02  3.58e+00 2.29e+01 2.86e+02  4.18e-01 2.76e-02    109s
   4  -5.86312008e+01 -3.57363021e-01  4.19e+01 4.93e+01  5.49e+04  3.07e+02  3.53e+00 2.38e+01 3.07e+02  4.01e-01 2.50e-02    138s
   5  -7.15514746e+01 -3.57363021e-01  4.84e+01 4.82e+01  5.38e+04  3.27e+02  3.49e+00 2.47e+01 3.27e+02  3.86e-01 2.26e-02    167s
   6  -8.38417866e+01 -3.57363021e-01  5.45e+01 4.72e+01  5.28e+04  3.47e+02  3.45e+00 2.56e+01 3.47e+02  3.72e-01 2.06e-02    197s
   7  -9.55427820e+01 -3.57363021e-01  6.04e+01 4.63e+01  5.19e+04  3.66e+02  3.41e+00 2.64e+01 3.66e+02  3.58e-01 1.88e-02    226s
   8  -1.06694039e+02 -3.57363021e-01  6.60e+01 4.55e+01  5.11e+04  3.84e+02  3.37e+00 2.71e+01 3.84e+02  3.46e-01 1.73e-02    256s
   9  -1.17344327e+02 -3.57363021e-01  7.13e+01 4.48e+01  5.04e+04  4.02e+02  3.33e+00 2.79e+01 4.02e+02  3.35e-01 1.59e-02    287s
  10  -1.27539320e+02 -3.57363021e-01  7.65e+01 4.41e+01  4.97e+04  4.20e+02  3.30e+00 2.86e+01 4.20e+02  3.24e-01 1.47e-02    317s
  11  -1.37292349e+02 -3.57363021e-01  8.14e+01 4.35e+01  4.91e+04  4.37e+02  3.26e+00 2.93e+01 4.37e+02  3.14e-01 1.36e-02    347s
  12  -1.46636152e+02 -3.57363021e-01  8.61e+01 4.30e+01  4.85e+04  4.54e+02  3.23e+00 3.00e+01 4.54e+02  3.04e-01 1.27e-02    378s
  13  -1.55619525e+02 -3.57363021e-01  9.06e+01 4.25e+01  4.80e+04  4.70e+02  3.20e+00 3.06e+01 4.70e+02  2.95e-01 1.18e-02    409s
  14  -1.64244132e+02 -3.57363021e-01  9.50e+01 4.20e+01  4.75e+04  4.86e+02  3.17e+00 3.12e+01 4.86e+02  2.87e-01 1.10e-02    440s
  15  -1.72546167e+02 -3.57363021e-01  9.92e+01 4.16e+01  4.71e+04  5.02e+02  3.14e+00 3.18e+01 5.02e+02  2.79e-01 1.03e-02    471s
  16  -1.80543120e+02 -3.57363021e-01  1.03e+02 4.12e+01  4.67e+04  5.18e+02  3.12e+00 3.24e+01 5.18e+02  2.71e-01 9.71e-03    502s
  17  -1.88244018e+02 -3.57363021e-01  1.07e+02 4.08e+01  4.63e+04  5.33e+02  3.09e+00 3.30e+01 5.33e+02  2.64e-01 9.12e-03    534s
  18  -1.95680273e+02 -3.57363021e-01  1.11e+02 4.04e+01  4.59e+04  5.48e+02  3.06e+00 3.35e+01 5.48e+02  2.58e-01 8.60e-03    566s
  19  -2.02866569e+02 -3.57363021e-01  1.15e+02 4.01e+01  4.56e+04  5.62e+02  3.04e+00 3.41e+01 5.62e+02  2.51e-01 8.12e-03    598s
  20  -2.09802993e+02 -3.57363021e-01  1.18e+02 3.98e+01  4.53e+04  5.77e+02  3.02e+00 3.46e+01 5.77e+02  2.45e-01 7.66e-03    630s
  21  -3.34565417e+01  7.90562832e-02  2.06e+01 6.93e+00  8.54e+03 *4.24e-01  3.00e+00 3.51e+01 5.91e+02  8.74e-01 8.26e-01    655s
  22   2.79873425e-01  7.90562832e-02  4.41e+00 6.41e+00  7.95e+03  2.05e+02  3.94e+00 1.84e+02 2.05e+02  5.59e-01 7.60e-02    680s
  23   2.56596793e+01  7.90562832e-02  1.01e+01 6.08e+00  7.58e+03  2.50e+02  3.89e+00 2.04e+02 2.50e+02  5.23e-01 5.09e-02    706s
  24   4.95613937e+01  7.90562832e-02  2.20e+01 5.81e+00  7.27e+03  2.84e+02  3.85e+00 2.19e+02 2.84e+02  4.97e-01 4.42e-02    732s
  25   7.21471676e+01  7.90562832e-02  3.33e+01 5.59e+00  7.02e+03  3.17e+02  3.81e+00 2.33e+02 3.17e+02  4.74e-01 3.88e-02    757s
  26   9.35236277e+01  7.90562832e-02  4.41e+01 5.39e+00  6.80e+03  3.48e+02  3.77e+00 2.47e+02 3.48e+02  4.53e-01 3.44e-02    783s
  27   1.13764804e+02  7.90562832e-02  5.43e+01 5.23e+00  6.61e+03  3.79e+02  3.73e+00 2.60e+02 3.79e+02  4.34e-01 3.06e-02    809s
  28   1.32971151e+02  7.90562832e-02  6.40e+01 5.09e+00  6.45e+03  4.08e+02  3.69e+00 2.73e+02 4.08e+02  4.16e-01 2.74e-02    834s
  29   1.51243151e+02  7.90562832e-02  7.32e+01 4.96e+00  6.30e+03  4.37e+02  3.66e+00 2.85e+02 4.37e+02  3.99e-01 2.48e-02    860s
  30   1.68626451e+02  7.90562832e-02  8.20e+01 4.85e+00  6.17e+03  4.65e+02  3.62e+00 2.96e+02 4.65e+02  3.84e-01 2.24e-02    886s
  31   1.85202535e+02  7.90562832e-02  9.04e+01 4.75e+00  6.06e+03  4.92e+02  3.59e+00 3.07e+02 4.92e+02  3.70e-01 2.04e-02    912s
  32   2.01049597e+02  7.90562832e-02  9.84e+01 4.66e+00  5.96e+03  5.19e+02  3.56e+00 3.18e+02 5.19e+02  3.57e-01 1.87e-02    937s
  33   2.16196407e+02  7.90562832e-02  1.06e+02 4.58e+00  5.87e+03  5.45e+02  3.52e+00 3.29e+02 5.45e+02  3.44e-01 1.72e-02    963s
  34   2.30687563e+02  7.90562832e-02  1.13e+02 4.51e+00  5.78e+03  5.70e+02  3.49e+00 3.39e+02 5.70e+02  3.33e-01 1.58e-02    989s
  35   2.44594283e+02  7.90562832e-02  1.20e+02 4.44e+00  5.71e+03  5.95e+02  3.47e+00 3.48e+02 5.95e+02  3.22e-01 1.46e-02   1015s
  36   2.57929566e+02  7.90562832e-02  1.27e+02 4.38e+00  5.64e+03  6.19e+02  3.44e+00 3.58e+02 6.19e+02  3.12e-01 1.35e-02   1041s
  37   2.70759204e+02  7.90562832e-02  1.34e+02 4.33e+00  5.57e+03  6.42e+02  3.41e+00 3.67e+02 6.42e+02  3.03e-01 1.26e-02   1067s
  38   2.83094850e+02  7.90562832e-02  1.40e+02 4.28e+00  5.51e+03  6.65e+02  3.39e+00 3.76e+02 6.65e+02  2.94e-01 1.17e-02   1093s
  39   2.94972861e+02  7.90562832e-02  1.46e+02 4.23e+00  5.46e+03  6.88e+02  3.36e+00 3.85e+02 6.88e+02  2.86e-01 1.10e-02   1120s
  40   3.06416201e+02  7.90562832e-02  1.52e+02 4.19e+00  5.41e+03  7.10e+02  3.34e+00 3.94e+02 7.10e+02  2.78e-01 1.03e-02   1146s
  41   3.17458180e+02  7.90562832e-02  1.57e+02 4.15e+00  5.36e+03  7.32e+02  3.32e+00 4.02e+02 7.32e+02  2.70e-01 9.63e-03   1173s
  42   3.28119524e+02  7.90562832e-02  1.63e+02 4.11e+00  5.32e+03  7.53e+02  3.30e+00 4.10e+02 7.53e+02  2.63e-01 9.06e-03   1200s
  43   3.38430508e+02  7.90562832e-02  1.68e+02 4.07e+00  5.28e+03  7.74e+02  3.28e+00 4.18e+02 7.74e+02  2.56e-01 8.54e-03   1226s
  44   3.48399641e+02  7.90562832e-02  1.73e+02 4.04e+00  5.24e+03  7.95e+02  3.26e+00 4.26e+02 7.95e+02  2.50e-01 8.05e-03   1253s
  45   3.58045309e+02  7.90562832e-02  1.78e+02 4.01e+00  5.20e+03  8.15e+02  3.24e+00 4.33e+02 8.15e+02  2.44e-01 7.61e-03   1280s
  46   3.67385096e+02  7.90562832e-02  1.82e+02 3.98e+00  5.17e+03  8.35e+02  3.22e+00 4.41e+02 8.35e+02  2.38e-01 7.20e-03   1306s
  47   3.76444854e+02  7.90562832e-02  1.87e+02 3.95e+00  5.13e+03  8.55e+02  3.20e+00 4.48e+02 8.55e+02  2.32e-01 6.83e-03   1333s
  48   3.85222464e+02  7.90562832e-02  1.92e+02 3.93e+00  5.10e+03  8.74e+02  3.18e+00 4.55e+02 8.74e+02  2.27e-01 6.48e-03   1360s
  49   3.93750792e+02  7.90562832e-02  1.96e+02 3.90e+00  5.08e+03  8.93e+02  3.17e+00 4.62e+02 8.93e+02  2.22e-01 6.17e-03   1387s
  50   4.02027297e+02  7.90562832e-02  2.00e+02 3.88e+00  5.05e+03  9.12e+02  3.15e+00 4.69e+02 9.12e+02  2.17e-01 5.87e-03   1414s
  51   4.10074363e+02  7.90562832e-02  2.04e+02 3.86e+00  5.02e+03  9.30e+02  3.14e+00 4.76e+02 9.30e+02  2.13e-01 5.60e-03   1441s
  52   4.17889500e+02  7.90562832e-02  2.08e+02 3.84e+00  5.00e+03  9.49e+02  3.12e+00 4.83e+02 9.49e+02  2.08e-01 5.33e-03   1468s
  53   4.25501339e+02  7.90562832e-02  2.12e+02 3.82e+00  4.98e+03  9.67e+02  3.11e+00 4.89e+02 9.67e+02  2.04e-01 5.10e-03   1495s
  54   4.32899541e+02  7.90562832e-02  2.16e+02 3.80e+00  4.96e+03  9.84e+02  3.10e+00 4.96e+02 9.84e+02  2.00e-01 4.87e-03   1522s
  55   4.40111051e+02  7.90562832e-02  2.19e+02 3.78e+00  4.93e+03  1.00e+03  3.08e+00 5.02e+02 1.00e+03  1.96e-01 4.67e-03   1549s
  56   4.47125904e+02  7.90562832e-02  2.23e+02 3.77e+00  4.91e+03  1.02e+03  3.07e+00 5.08e+02 1.02e+03  1.92e-01 4.46e-03   1576s
  57   4.53969467e+02  7.90562832e-02  2.26e+02 3.75e+00  4.90e+03  1.04e+03  3.06e+00 5.14e+02 1.04e+03  1.89e-01 4.28e-03   1603s
  58   4.60645435e+02  7.90562832e-02  2.30e+02 3.73e+00  4.88e+03  1.05e+03  3.05e+00 5.20e+02 1.05e+03  1.85e-01 4.11e-03   1629s
  59   4.67150977e+02  7.90562832e-02  2.33e+02 3.72e+00  4.86e+03  1.07e+03  3.04e+00 5.26e+02 1.07e+03  1.82e-01 3.95e-03   1656s
