
--------------- Linear optimization problem characteristics ---------------
Seed:                    94
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        2.50e-02
Norm of vector c:        2.68e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.005 -0.009 +0.008 ... -0.006 -0.006 -0.002]
                          [-0.012 -0.006 +0.010 ... -0.009 +0.009 -0.005]]

RHS vector b:            [+0.016 +0.019]
Obj vector c:            [+0.018 +0.005 -0.012 ... +0.012 -0.022 +0.009]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.025 +0.021 +0.024 ... +0.034 +0.018 +0.006]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+0.775 -1.844]

Optimal objective:       -2.37529911e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.67030510e+01 -7.85695902e-01  1.42e+00 9.70e+01  1.06e+05 *1.78e-15  4.00e+00 1.00e+00 1.70e+01  9.47e-01 9.03e-01     24s
   1   3.14314649e+01 -7.85695902e-01  1.66e+01 8.85e+01  9.73e+04  2.04e+02  3.94e+00 1.23e+01 2.04e+02  4.85e-01 8.76e-02     48s
   2   3.36745593e+01 -7.85695902e-01  2.40e+01 8.58e+01  9.46e+04  2.59e+02  3.91e+00 1.41e+01 2.59e+02  4.35e-01 3.09e-02     74s
   3   3.59149164e+01 -7.85695902e-01  3.12e+01 8.34e+01  9.22e+04  2.82e+02  3.91e+00 1.49e+01 2.82e+02  4.17e-01 2.77e-02    100s
   4   3.81506418e+01 -7.85695902e-01  3.80e+01 8.13e+01  9.01e+04  3.04e+02  3.90e+00 1.56e+01 3.04e+02  4.01e-01 2.50e-02    127s
   5   4.03757401e+01 -7.85695902e-01  4.45e+01 7.95e+01  8.83e+04  3.27e+02  3.90e+00 1.63e+01 3.27e+02  3.85e-01 2.26e-02    153s
   6   4.25904502e+01 -7.85695902e-01  5.08e+01 7.78e+01  8.66e+04  3.48e+02  3.89e+00 1.70e+01 3.48e+02  3.71e-01 2.06e-02    180s
   7   4.47878271e+01 -7.85695902e-01  5.68e+01 7.64e+01  8.51e+04  3.70e+02  3.89e+00 1.77e+01 3.70e+02  3.58e-01 1.88e-02    206s
   8   4.69664105e+01 -7.85695902e-01  6.26e+01 7.50e+01  8.38e+04  3.91e+02  3.89e+00 1.84e+01 3.91e+02  3.45e-01 1.73e-02    233s
   9   4.91257799e+01 -7.85695902e-01  6.81e+01 7.39e+01  8.26e+04  4.12e+02  3.89e+00 1.91e+01 4.12e+02  3.34e-01 1.59e-02    260s
  10   5.12620955e+01 -7.85695902e-01  7.35e+01 7.28e+01  8.15e+04  4.32e+02  3.90e+00 1.97e+01 4.32e+02  3.23e-01 1.47e-02    287s
  11   5.33785632e+01 -7.85695902e-01  7.86e+01 7.18e+01  8.05e+04  4.53e+02  3.90e+00 2.04e+01 4.53e+02  3.13e-01 1.36e-02    314s
  12   5.54706170e+01 -7.85695902e-01  8.36e+01 7.09e+01  7.96e+04  4.72e+02  3.90e+00 2.10e+01 4.72e+02  3.04e-01 1.27e-02    341s
  13   5.75404108e+01 -7.85695902e-01  8.84e+01 7.00e+01  7.87e+04  4.92e+02  3.91e+00 2.16e+01 4.92e+02  2.95e-01 1.18e-02    368s
  14   5.95843786e+01 -7.85695902e-01  9.31e+01 6.93e+01  7.79e+04  5.12e+02  3.91e+00 2.22e+01 5.12e+02  2.86e-01 1.10e-02    396s
  15   6.16054161e+01 -7.85695902e-01  9.76e+01 6.85e+01  7.72e+04  5.31e+02  3.92e+00 2.28e+01 5.31e+02  2.78e-01 1.03e-02    423s
  16   6.36027130e+01 -7.85695902e-01  1.02e+02 6.79e+01  7.65e+04  5.50e+02  3.93e+00 2.35e+01 5.50e+02  2.71e-01 9.69e-03    450s
  17   6.55757380e+01 -7.85695902e-01  1.06e+02 6.73e+01  7.59e+04  5.69e+02  3.94e+00 2.41e+01 5.69e+02  2.64e-01 9.11e-03    478s
  18   6.75222561e+01 -7.85695902e-01  1.10e+02 6.67e+01  7.53e+04  5.87e+02  3.95e+00 2.46e+01 5.87e+02  2.57e-01 8.57e-03    505s
  19   6.94460532e+01 -7.85695902e-01  1.14e+02 6.61e+01  7.48e+04  6.05e+02  3.96e+00 2.52e+01 6.05e+02  2.50e-01 8.09e-03    533s
  20   7.13453341e+01 -7.85695902e-01  1.18e+02 6.56e+01  7.43e+04  6.24e+02  3.97e+00 2.58e+01 6.24e+02  2.44e-01 7.65e-03    560s
  21   7.32203734e+01 -7.85695902e-01  1.22e+02 6.52e+01  7.38e+04  6.42e+02  3.98e+00 2.64e+01 6.42e+02  2.38e-01 7.24e-03    588s
  22   7.50734383e+01 -7.85695902e-01  1.26e+02 6.47e+01  7.33e+04  6.59e+02  3.99e+00 2.69e+01 6.59e+02  2.33e-01 6.87e-03    616s
  23   1.73582998e+01  5.05040037e-02  2.11e+01 1.09e+01  1.33e+04  4.63e-01  4.01e+00 2.75e+01 6.77e+02  8.80e-01 8.32e-01    640s
  24   2.12131361e+01  5.05040037e-02  6.62e+00 9.69e+00  1.20e+04  1.63e+02  3.86e+00 1.17e+02 1.63e+02  5.74e-01 1.08e-01    665s
  25   2.34240129e+01  5.05040037e-02  1.27e+01 9.19e+00  1.15e+04  2.18e+02  3.78e+00 1.37e+02 2.18e+02  5.22e-01 5.13e-02    691s
  26   2.55107815e+01  5.05040037e-02  2.25e+01 8.78e+00  1.10e+04  2.50e+02  3.73e+00 1.48e+02 2.50e+02  4.96e-01 4.46e-02    717s
  27   2.74717610e+01  5.05040037e-02  3.23e+01 8.44e+00  1.06e+04  2.81e+02  3.69e+00 1.59e+02 2.81e+02  4.73e-01 3.91e-02    743s
  28   2.93090810e+01  5.05040037e-02  4.19e+01 8.15e+00  1.03e+04  3.12e+02  3.64e+00 1.70e+02 3.12e+02  4.51e-01 3.45e-02    769s
  29   3.10266390e+01  5.05040037e-02  5.10e+01 7.90e+00  9.99e+03  3.43e+02  3.60e+00 1.80e+02 3.43e+02  4.32e-01 3.07e-02    796s
  30   3.26305523e+01  5.05040037e-02  5.98e+01 7.68e+00  9.74e+03  3.73e+02  3.56e+00 1.90e+02 3.73e+02  4.14e-01 2.75e-02    823s
  31   3.41251017e+01  5.05040037e-02  6.83e+01 7.49e+00  9.52e+03  4.03e+02  3.52e+00 2.00e+02 4.03e+02  3.97e-01 2.48e-02    850s
  32   3.55170586e+01  5.05040037e-02  7.64e+01 7.32e+00  9.32e+03  4.32e+02  3.49e+00 2.10e+02 4.32e+02  3.82e-01 2.25e-02    877s
  33   3.68147716e+01  5.05040037e-02  8.43e+01 7.17e+00  9.15e+03  4.61e+02  3.46e+00 2.19e+02 4.61e+02  3.68e-01 2.05e-02    905s
  34   3.80202049e+01  5.05040037e-02  9.18e+01 7.04e+00  8.99e+03  4.90e+02  3.43e+00 2.29e+02 4.90e+02  3.54e-01 1.87e-02    932s
  35   3.91417993e+01  5.05040037e-02  9.91e+01 6.92e+00  8.86e+03  5.18e+02  3.40e+00 2.38e+02 5.18e+02  3.42e-01 1.71e-02    960s
  36   4.01831194e+01  5.05040037e-02  1.06e+02 6.81e+00  8.73e+03  5.47e+02  3.37e+00 2.47e+02 5.47e+02  3.31e-01 1.58e-02    989s
  37   4.11489425e+01  5.05040037e-02  1.13e+02 6.71e+00  8.61e+03  5.75e+02  3.34e+00 2.56e+02 5.75e+02  3.20e-01 1.46e-02   1017s
  38   4.20448281e+01  5.05040037e-02  1.20e+02 6.62e+00  8.51e+03  6.02e+02  3.32e+00 2.65e+02 6.02e+02  3.10e-01 1.35e-02   1046s
  39   4.28750979e+01  5.05040037e-02  1.26e+02 6.54e+00  8.41e+03  6.30e+02  3.30e+00 2.74e+02 6.30e+02  3.00e-01 1.25e-02   1075s
  40   4.36430917e+01  5.05040037e-02  1.32e+02 6.46e+00  8.32e+03  6.57e+02  3.28e+00 2.83e+02 6.57e+02  2.92e-01 1.17e-02   1104s
  41   4.43521141e+01  5.05040037e-02  1.38e+02 6.39e+00  8.24e+03  6.84e+02  3.26e+00 2.91e+02 6.84e+02  2.83e-01 1.09e-02   1133s
  42   4.50067060e+01  5.05040037e-02  1.44e+02 6.32e+00  8.16e+03  7.11e+02  3.24e+00 3.00e+02 7.11e+02  2.75e-01 1.02e-02   1161s
  43   4.56091307e+01  5.05040037e-02  1.50e+02 6.26e+00  8.09e+03  7.38e+02  3.22e+00 3.08e+02 7.38e+02  2.68e-01 9.58e-03   1190s
  44   4.61628347e+01  5.05040037e-02  1.55e+02 6.21e+00  8.03e+03  7.64e+02  3.21e+00 3.17e+02 7.64e+02  2.61e-01 9.00e-03   1218s
  45   4.66704669e+01  5.05040037e-02  1.61e+02 6.15e+00  7.97e+03  7.90e+02  3.20e+00 3.25e+02 7.90e+02  2.54e-01 8.48e-03   1247s
  46   4.71340889e+01  5.05040037e-02  1.66e+02 6.11e+00  7.91e+03  8.16e+02  3.18e+00 3.33e+02 8.16e+02  2.48e-01 7.99e-03   1276s
  47   4.75570527e+01  5.05040037e-02  1.71e+02 6.06e+00  7.85e+03  8.42e+02  3.17e+00 3.41e+02 8.42e+02  2.42e-01 7.56e-03   1305s
  48   4.79411322e+01  5.05040037e-02  1.76e+02 6.02e+00  7.80e+03  8.68e+02  3.16e+00 3.50e+02 8.68e+02  2.36e-01 7.15e-03   1334s
  49   4.82884599e+01  5.05040037e-02  1.81e+02 5.98e+00  7.76e+03  8.94e+02  3.15e+00 3.58e+02 8.94e+02  2.30e-01 6.78e-03   1363s
  50   4.86010369e+01  5.05040037e-02  1.85e+02 5.94e+00  7.71e+03  9.19e+02  3.14e+00 3.66e+02 9.19e+02  2.25e-01 6.43e-03   1392s
  51   4.88804555e+01  5.05040037e-02  1.90e+02 5.90e+00  7.67e+03  9.44e+02  3.13e+00 3.74e+02 9.44e+02  2.20e-01 6.11e-03   1422s
  52   4.91287967e+01  5.05040037e-02  1.95e+02 5.87e+00  7.63e+03  9.69e+02  3.12e+00 3.82e+02 9.69e+02  2.15e-01 5.82e-03   1453s
