
--------------- Linear optimization problem characteristics ---------------
Seed:                    96
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        8.15e-03
Norm of vector c:        2.81e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.004 +0.015 +0.012 ... +0.006 -0.015 -0.007]
                          [+0.010 +0.007 +0.002 ... +0.000 -0.011 -0.001]]

RHS vector b:            [-0.003 -0.007]
Obj vector c:            [-0.017 -0.034 -0.024 ... -0.011 +0.037 +0.013]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.007 +0.032 +0.028 ... +0.020 +0.025 +0.013]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [-1.779 -0.914]

Optimal objective:       +1.27274194e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.61053148e+01 -2.88476232e-02  2.49e-02 1.32e+01  1.45e+04 *4.44e-16  4.00e+00 1.00e+00 1.45e+00  9.94e-01 9.87e-01     24s
   1  -4.51982438e+01 -2.88476232e-02  4.08e+01 1.07e+01  1.19e+04  2.17e+02  3.97e+00 9.11e+01 2.17e+02  5.28e-01 1.88e-01     48s
   2  -6.05040320e+01 -2.88476232e-02  4.97e+01 1.04e+01  1.16e+04  3.52e+02  3.96e+00 1.26e+02 3.52e+02  4.18e-01 2.86e-02     73s
   3  -7.48683402e+01 -2.88476232e-02  5.81e+01 1.01e+01  1.14e+04  3.81e+02  3.96e+00 1.33e+02 3.81e+02  4.01e-01 2.53e-02     98s
   4  -8.86342005e+01 -2.88476232e-02  6.61e+01 9.88e+00  1.11e+04  4.09e+02  3.96e+00 1.40e+02 4.09e+02  3.86e-01 2.29e-02    124s
   5  -1.01859639e+02 -2.88476232e-02  7.38e+01 9.68e+00  1.09e+04  4.36e+02  3.97e+00 1.47e+02 4.36e+02  3.71e-01 2.08e-02    150s
   6  -1.14561920e+02 -2.88476232e-02  8.12e+01 9.49e+00  1.07e+04  4.63e+02  3.98e+00 1.53e+02 4.63e+02  3.58e-01 1.90e-02    176s
   7  -1.26796074e+02 -2.88476232e-02  8.83e+01 9.33e+00  1.06e+04  4.90e+02  3.98e+00 1.60e+02 4.90e+02  3.46e-01 1.74e-02    202s
   8  -1.38590590e+02 -2.88476232e-02  9.52e+01 9.18e+00  1.04e+04  5.17e+02  3.99e+00 1.66e+02 5.17e+02  3.34e-01 1.60e-02    228s
   9  -2.06015285e+01  1.73621551e-02  1.50e+01 1.45e+00  1.78e+03 *5.33e-02  4.00e+00 1.73e+02 5.43e+02  8.88e-01 8.43e-01    252s
  10   1.81937831e+01  1.73621551e-02  1.11e+01 1.28e+00  1.59e+03  2.14e+02  3.90e+00 9.06e+02 2.14e+02  5.42e-01 1.13e-01    277s
  11   3.57360502e+01  1.73621551e-02  2.26e+01 1.23e+00  1.53e+03  2.90e+02  3.84e+00 1.08e+03 2.90e+02  4.84e-01 4.16e-02    303s
  12   5.24602234e+01  1.73621551e-02  3.37e+01 1.18e+00  1.48e+03  3.25e+02  3.82e+00 1.16e+03 3.25e+02  4.61e-01 3.65e-02    329s
  13   6.84679526e+01  1.73621551e-02  4.42e+01 1.15e+00  1.44e+03  3.59e+02  3.80e+00 1.24e+03 3.59e+02  4.41e-01 3.23e-02    355s
  14   8.38475947e+01  1.73621551e-02  5.43e+01 1.11e+00  1.40e+03  3.93e+02  3.78e+00 1.31e+03 3.93e+02  4.22e-01 2.89e-02    382s
  15   9.86287818e+01  1.73621551e-02  6.39e+01 1.08e+00  1.37e+03  4.26e+02  3.76e+00 1.39e+03 4.26e+02  4.05e-01 2.60e-02    408s
  16   1.12844897e+02  1.73621551e-02  7.32e+01 1.06e+00  1.34e+03  4.59e+02  3.74e+00 1.46e+03 4.59e+02  3.89e-01 2.35e-02    434s
  17   1.26558889e+02  1.73621551e-02  8.22e+01 1.04e+00  1.31e+03  4.92e+02  3.73e+00 1.53e+03 4.92e+02  3.74e-01 2.13e-02    461s
  18   1.39792635e+02  1.73621551e-02  9.08e+01 1.01e+00  1.29e+03  5.24e+02  3.72e+00 1.60e+03 5.24e+02  3.61e-01 1.95e-02    487s
  19   1.52582194e+02  1.73621551e-02  9.91e+01 9.97e-01  1.27e+03  5.56e+02  3.71e+00 1.67e+03 5.56e+02  3.48e-01 1.78e-02    513s
  20   1.64963342e+02  1.73621551e-02  1.07e+02 9.81e-01  1.25e+03  5.88e+02  3.70e+00 1.74e+03 5.88e+02  3.36e-01 1.64e-02    540s
  21   1.76947215e+02  1.73621551e-02  1.15e+02 9.66e-01  1.23e+03  6.19e+02  3.69e+00 1.81e+03 6.19e+02  3.25e-01 1.51e-02    568s
  22   1.88569169e+02  1.73621551e-02  1.22e+02 9.52e-01  1.22e+03  6.50e+02  3.68e+00 1.88e+03 6.50e+02  3.15e-01 1.40e-02    595s
  23   1.99852165e+02  1.73621551e-02  1.30e+02 9.40e-01  1.20e+03  6.81e+02  3.67e+00 1.95e+03 6.81e+02  3.05e-01 1.30e-02    622s
  24   2.10807818e+02  1.73621551e-02  1.37e+02 9.28e-01  1.19e+03  7.12e+02  3.67e+00 2.02e+03 7.12e+02  2.96e-01 1.21e-02    649s
  25   2.21458697e+02  1.73621551e-02  1.43e+02 9.18e-01  1.18e+03  7.42e+02  3.67e+00 2.09e+03 7.42e+02  2.87e-01 1.13e-02    676s
  26   2.31816400e+02  1.73621551e-02  1.50e+02 9.08e-01  1.17e+03  7.72e+02  3.66e+00 2.16e+03 7.72e+02  2.79e-01 1.05e-02    704s
