
--------------- Linear optimization problem characteristics ---------------
Seed:                    98
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        3.31e-02
Norm of vector c:        2.27e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.007 +0.011 -0.007 ... +0.009 -0.005 +0.005]
                          [+0.006 -0.008 -0.001 ... -0.005 +0.007 -0.002]]

RHS vector b:            [+0.027 -0.020]
Obj vector c:            [-0.002 +0.001 +0.010 ... -0.001 -0.005 -0.003]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.026 +0.020 +0.011 ... +0.011 +0.018 +0.007]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [-1.129 -1.651]

Optimal objective:       +2.65450485e-03
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.65119425e+01  0.00000000e+00  1.35e+01 5.56e+00  6.14e+03  1.35e+01  4.00e+00 1.00e+00 1.35e+01  9.97e-01 9.94e-01     24s
   1  -3.38153731e+01  0.00000000e+00  4.03e+01 4.43e+00  4.98e+03  1.64e+02  3.82e+00 2.03e+02 1.64e+02  5.37e-01 2.03e-01     48s
   2  -4.58394353e+01  0.00000000e+00  4.66e+01 4.30e+00  4.85e+03  2.61e+02  3.60e+00 2.70e+02 2.61e+02  4.20e-01 2.95e-02     76s
   3  -5.65686410e+01  0.00000000e+00  5.23e+01 4.20e+00  4.74e+03  2.80e+02  3.56e+00 2.81e+02 2.80e+02  4.02e-01 2.50e-02    104s
   4  -6.67457972e+01  0.00000000e+00  5.77e+01 4.10e+00  4.64e+03  2.98e+02  3.52e+00 2.91e+02 2.98e+02  3.87e-01 2.27e-02    133s
   5  -7.64362443e+01  0.00000000e+00  6.29e+01 4.02e+00  4.56e+03  3.15e+02  3.48e+00 3.01e+02 3.15e+02  3.72e-01 2.06e-02    162s
   6  -8.56631356e+01  0.00000000e+00  6.79e+01 3.94e+00  4.48e+03  3.32e+02  3.44e+00 3.10e+02 3.32e+02  3.59e-01 1.89e-02    192s
   7  -9.44760355e+01  0.00000000e+00  7.27e+01 3.87e+00  4.41e+03  3.48e+02  3.41e+00 3.19e+02 3.48e+02  3.47e-01 1.73e-02    221s
   8  -1.02903879e+02  0.00000000e+00  7.73e+01 3.81e+00  4.35e+03  3.64e+02  3.37e+00 3.27e+02 3.64e+02  3.35e-01 1.60e-02    251s
   9  -1.10974163e+02  0.00000000e+00  8.18e+01 3.75e+00  4.29e+03  3.79e+02  3.34e+00 3.35e+02 3.79e+02  3.25e-01 1.48e-02    280s
  10  -1.18705179e+02  0.00000000e+00  8.60e+01 3.70e+00  4.24e+03  3.95e+02  3.31e+00 3.43e+02 3.95e+02  3.14e-01 1.37e-02    310s
  11  -1.26136960e+02  0.00000000e+00  9.01e+01 3.66e+00  4.19e+03  4.10e+02  3.28e+00 3.51e+02 4.10e+02  3.05e-01 1.27e-02    340s
  12  -1.33277765e+02  0.00000000e+00  9.40e+01 3.61e+00  4.14e+03  4.24e+02  3.26e+00 3.58e+02 4.24e+02  2.96e-01 1.19e-02    370s
  13  -1.40149872e+02  0.00000000e+00  9.78e+01 3.57e+00  4.10e+03  4.39e+02  3.23e+00 3.65e+02 4.39e+02  2.88e-01 1.11e-02    399s
  14  -1.46767565e+02  0.00000000e+00  1.01e+02 3.54e+00  4.06e+03  4.53e+02  3.21e+00 3.72e+02 4.53e+02  2.80e-01 1.04e-02    429s
  15  -1.53150919e+02  0.00000000e+00  1.05e+02 3.50e+00  4.03e+03  4.67e+02  3.18e+00 3.79e+02 4.67e+02  2.72e-01 9.73e-03    459s
  16  -1.59318740e+02  0.00000000e+00  1.08e+02 3.47e+00  3.99e+03  4.80e+02  3.16e+00 3.85e+02 4.80e+02  2.65e-01 9.16e-03    490s
  17  -1.65270762e+02  0.00000000e+00  1.12e+02 3.44e+00  3.96e+03  4.93e+02  3.14e+00 3.92e+02 4.93e+02  2.58e-01 8.62e-03    521s
  18  -1.71036198e+02  0.00000000e+00  1.15e+02 3.41e+00  3.93e+03  5.07e+02  3.12e+00 3.98e+02 5.07e+02  2.52e-01 8.14e-03    551s
  19  -1.76608525e+02  0.00000000e+00  1.18e+02 3.38e+00  3.91e+03  5.19e+02  3.10e+00 4.04e+02 5.19e+02  2.46e-01 7.69e-03    582s
  20  -1.82003963e+02  0.00000000e+00  1.21e+02 3.36e+00  3.88e+03  5.32e+02  3.09e+00 4.10e+02 5.32e+02  2.40e-01 7.28e-03    613s
  21  -1.87237678e+02  0.00000000e+00  1.24e+02 3.34e+00  3.86e+03  5.45e+02  3.07e+00 4.16e+02 5.45e+02  2.34e-01 6.90e-03    644s
  22  -1.92313710e+02  0.00000000e+00  1.27e+02 3.32e+00  3.83e+03  5.57e+02  3.05e+00 4.21e+02 5.57e+02  2.29e-01 6.55e-03    674s
