
--------------- Linear optimization problem characteristics ---------------
Seed:                    29
Number of variables:     4
Number of constraints:   2

Norm of primal sol:      3.38e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        1.05e+01

Norm of matrix A:        1.00e+00
Condition number:        8.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.541 +0.278 +0.545 -0.577]
                          [-0.094 -0.043 -0.012 -0.074]]

RHS vector b:            [+1.974 -0.319]
Obj vector c:            [-4.656 -0.613 -4.140 +8.486]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+3.363 +0.000 +0.285 +0.000]
Dual slacks:              [+0.000 +1.749 +0.000 +4.684]
Dual variables:           [-7.453 +6.667]

Optimal objective:       -1.68407132e+01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-02
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+02

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0  -2.03154755e+02  0.00000000e+00  9.61e+01 1.59e+01  3.28e+03  9.75e+01  6.40e+01 1.00e+00 9.75e+01  9.56e-01 9.21e-01      1s
   1  -1.45868138e+02 -4.46413686e+00  8.51e+01 1.41e+01  2.94e+03 *3.24e-01  1.01e+02 2.07e+01 2.93e+02  6.27e-01 1.14e-01      2s
   2  -1.13705338e+02 -7.38881674e+00  7.83e+01 1.30e+01  2.73e+03 *6.36e-01  1.02e+02 1.89e+01 2.35e+02  6.32e-01 7.99e-02      3s
   3  -8.75545104e+01 -1.01584318e+01  7.22e+01 1.19e+01  2.54e+03 *3.68e-01  1.05e+02 1.78e+01 2.04e+02  6.27e-01 7.83e-02      4s
   4  -6.50914331e+01 -1.29030442e+01  6.64e+01 1.10e+01  2.36e+03 *3.75e-01  1.09e+02 1.69e+01 1.77e+02  6.32e-01 8.07e-02      5s
   5  -4.59273447e+01 -1.56552218e+01  6.08e+01 1.01e+01  2.18e+03 *3.57e-01  1.14e+02 1.61e+01 1.54e+02  6.41e-01 8.43e-02      8s
   6  -3.12113387e+01 -1.83436334e+01  5.57e+01 9.21e+00  2.01e+03 *3.39e-03  1.20e+02 1.52e+01 1.33e+02  6.38e-01 8.44e-02     10s
   7   6.26102634e+01 -2.57354535e+01  3.51e+01 5.74e+00  1.37e+03 *5.09e+00  1.27e+02 1.44e+01 1.15e+02  1.00e+00 3.77e-01     11s
   8   6.02773695e+01 -2.86499728e+01  3.03e+01 4.96e+00  1.20e+03 *1.71e-04  1.21e+02 1.17e+01 5.50e+01  7.33e-01 1.36e-01     12s
   9   5.53701824e+01 -3.18506265e+01  2.53e+01 4.14e+00  1.02e+03 *2.73e-02  1.29e+02 1.05e+01 4.29e+01  7.73e-01 1.65e-01     14s
