
--------------- Linear optimization problem characteristics ---------------
Seed:                    98
Number of variables:     4
Number of constraints:   2

Norm of primal sol:      1.16e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        6.96e+00

Norm of matrix A:        2.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.701 -0.663 +1.074 +1.359]
                          [+0.692 +0.458 +0.167 -0.592]]

RHS vector b:            [+1.917 -0.570]
Obj vector c:            [-3.006 -1.484 -1.729 +5.845]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.000 +0.000 +0.417 +1.081]
Dual slacks:              [+3.953 +3.062 +0.000 +0.000]
Dual variables:           [-0.056 -10.000]

Optimal objective:       +5.59565229e+00
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0  -3.71972049e+01  0.00000000e+00  2.47e+01 6.70e+00  1.10e+02  2.53e+01  4.00e+00 4.00e+00 2.53e+01  7.69e-01 6.86e-01      0s
   1  -4.19001085e+01  0.00000000e+00  2.57e+01 6.53e+00  1.07e+02  6.78e+01  3.33e+00 1.87e+01 6.78e+01  2.64e-01 2.63e-02      0s
   2  -4.37368966e+01  0.00000000e+00  2.62e+01 6.47e+00  1.06e+02  7.68e+01  3.46e+00 2.12e+01 7.68e+01  2.44e-01 9.07e-03      0s
   3  -4.55228299e+01  0.00000000e+00  2.66e+01 6.41e+00  1.05e+02  8.06e+01  3.52e+00 2.23e+01 8.06e+01  2.37e-01 8.41e-03      0s
   4  -4.72797341e+01  0.00000000e+00  2.71e+01 6.36e+00  1.04e+02  8.43e+01  3.59e+00 2.34e+01 8.43e+01  2.31e-01 7.90e-03      1s
   5  -4.90061143e+01  0.00000000e+00  2.75e+01 6.32e+00  1.04e+02  8.82e+01  3.65e+00 2.45e+01 8.82e+01  2.25e-01 7.41e-03      1s
   6  -5.07072745e+01  0.00000000e+00  2.79e+01 6.27e+00  1.03e+02  9.22e+01  3.72e+00 2.56e+01 9.22e+01  2.19e-01 6.99e-03      1s
   7  -5.23833015e+01  0.00000000e+00  2.84e+01 6.23e+00  1.02e+02  9.62e+01  3.80e+00 2.67e+01 9.62e+01  2.13e-01 6.59e-03      1s
   8  -5.40358972e+01  0.00000000e+00  2.88e+01 6.19e+00  1.02e+02  1.00e+02  3.87e+00 2.79e+01 1.00e+02  2.08e-01 6.23e-03      1s
   9  -5.56683250e+01  0.00000000e+00  2.93e+01 6.16e+00  1.01e+02  1.04e+02  3.95e+00 2.91e+01 1.04e+02  2.03e-01 5.90e-03      1s
  10  -5.03759408e+01  7.59896233e-02  2.67e+01 5.62e+00  9.32e+01 *2.34e-01  4.03e+00 3.04e+01 1.09e+02  6.38e-01 8.69e-02      1s
  11  -5.21844665e+01  7.59896233e-02  2.72e+01 5.58e+00  9.25e+01  8.58e+01  3.63e+00 2.72e+01 8.58e+01  2.32e-01 8.05e-03      1s
  12  -5.39534922e+01  7.59896233e-02  2.76e+01 5.53e+00  9.19e+01  8.98e+01  3.69e+00 2.85e+01 8.98e+01  2.25e-01 7.52e-03      2s
  13  -5.56972422e+01  7.59896233e-02  2.81e+01 5.49e+00  9.13e+01  9.38e+01  3.76e+00 2.98e+01 9.38e+01  2.20e-01 7.09e-03      2s
  14  -5.74157454e+01  7.59896233e-02  2.85e+01 5.46e+00  9.07e+01  9.79e+01  3.82e+00 3.12e+01 9.79e+01  2.14e-01 6.68e-03      2s
  15  -5.91089981e+01  7.59896233e-02  2.90e+01 5.42e+00  9.02e+01  1.02e+02  3.89e+00 3.26e+01 1.02e+02  2.09e-01 6.31e-03      2s
  16  -6.07803127e+01  7.59896233e-02  2.95e+01 5.39e+00  8.97e+01  1.06e+02  3.97e+00 3.40e+01 1.06e+02  2.04e-01 5.97e-03      2s
