
--------------- Linear optimization problem characteristics ---------------
Seed:                    82
Number of variables:     4
Number of constraints:   2

Norm of primal sol:      3.84e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        9.85e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.020 +0.505 +0.323 +0.161]
                          [+0.220 +0.817 -0.208 -0.323]]

RHS vector b:            [+1.711 +1.035]
Obj vector c:            [+4.228 +7.921 +2.340 -3.302]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.000 +2.440 +0.000 +2.970]
Dual slacks:              [+2.018 +0.000 +4.575 +0.000]
Dual variables:           [-0.476 +9.989]

Optimal objective:       +9.52226375e+00
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   5.00e+02

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.19662205e+03 -1.90618258e+03  1.10e+02 2.00e+02  2.20e+05 *1.27e-13  4.00e+00 1.00e+00 5.93e+02  8.80e-01 7.99e-01      0s
   1   1.85681462e+03 -2.21610265e+03  8.39e+01 1.51e+02  1.71e+05 *4.67e+00  1.25e+01 7.90e-01 2.82e+02  6.11e-01 2.44e-01      1s
   2   1.72487897e+03 -2.34664031e+03  7.63e+01 1.37e+02  1.57e+05 *1.31e+00  1.74e+01 7.64e-01 2.13e+02  6.47e-01 9.20e-02      1s
   3   1.58264930e+03 -2.49311805e+03  6.86e+01 1.23e+02  1.42e+05 *1.89e-01  1.88e+01 7.30e-01 1.86e+02  6.66e-01 1.02e-01      1s
   4   1.42158187e+03 -2.65977556e+03  6.03e+01 1.08e+02  1.26e+05 *6.41e-01  2.02e+01 6.87e-01 1.58e+02  7.04e-01 1.22e-01      2s
   5   1.23842551e+03 -2.85152580e+03  5.13e+01 9.20e+01  1.09e+05 *7.80e-01  2.17e+01 6.32e-01 1.29e+02  7.47e-01 1.50e-01      2s
   6   1.03188164e+03 -3.07747478e+03  4.17e+01 7.47e+01  9.04e+04  1.97e-01  2.31e+01 5.64e-01 9.88e+01  7.90e-01 1.88e-01      3s
   7   7.83087180e+02 -3.34220013e+03  3.06e+01 5.45e+01  6.82e+04  8.35e-01  2.46e+01 4.79e-01 6.91e+01  8.69e-01 2.70e-01      3s
   8   4.92105933e+02 -3.67470390e+03  1.81e+01 3.23e+01  4.27e+04  4.02e-03  2.60e+01 3.71e-01 4.01e+01  9.38e-01 4.08e-01      3s
   9   1.10428121e+02 -4.01611890e+03  2.41e+00 4.05e+00  9.26e+03  1.70e-01  2.73e+01 2.35e-01 1.60e+01  1.00e+00 8.75e-01      4s
