
--------------- Linear optimization problem characteristics ---------------
Seed:                    78
Number of variables:     8
Number of constraints:   2

Norm of primal sol:      4.19e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        6.27e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[+0.228 +0.253 -0.020 +0.268 +0.117 -0.180 +0.153 -0.020]
                          [+0.412 -0.423 +0.365 +0.387 +0.403 +0.413 +0.155 +0.060]]

RHS vector b:            [+1.108 +1.665]
Obj vector c:            [-2.397 -2.416 +0.096 -2.785 +3.559 +1.681 -1.573 +1.420]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.124 +1.757 +2.061 +2.064 +0.000 +1.146 +2.145 +0.000]
Dual slacks:              [+0.000 +0.000 +0.000 +0.000 +4.844 +0.000 +0.000 +1.237]
Dual variables:           [-9.996 -0.279]

Optimal objective:       -1.15405580e+01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0  -5.30310389e+01  0.00000000e+00  1.88e+01 9.17e+00  2.32e+02  1.95e+01  4.00e+00 1.00e+00 1.95e+01  7.82e-01 6.92e-01      0s
   1  -5.86141515e+01  0.00000000e+00  1.93e+01 8.96e+00  2.27e+02  4.11e+01  3.46e+00 6.18e+00 4.11e+01  2.92e-01 2.27e-02      0s
   2  -6.17563511e+01  0.00000000e+00  1.96e+01 8.86e+00  2.24e+02  4.48e+01  3.47e+00 6.83e+00 4.48e+01  2.76e-01 1.15e-02      0s
   3  -6.48233158e+01  0.00000000e+00  1.98e+01 8.76e+00  2.22e+02  4.69e+01  3.48e+00 7.22e+00 4.69e+01  2.67e-01 1.07e-02      1s
   4  -6.78380259e+01  0.00000000e+00  2.01e+01 8.67e+00  2.20e+02  4.91e+01  3.49e+00 7.61e+00 4.91e+01  2.59e-01 9.97e-03      1s
   5  -7.07991251e+01  0.00000000e+00  2.03e+01 8.59e+00  2.18e+02  5.13e+01  3.50e+00 8.01e+00 5.13e+01  2.52e-01 9.31e-03      1s
   6  -7.37141514e+01  0.00000000e+00  2.06e+01 8.52e+00  2.16e+02  5.36e+01  3.51e+00 8.42e+00 5.36e+01  2.45e-01 8.73e-03      1s
   7  -7.65790535e+01  0.00000000e+00  2.09e+01 8.45e+00  2.15e+02  5.59e+01  3.52e+00 8.83e+00 5.59e+01  2.38e-01 8.18e-03      1s
   8  -7.94012797e+01  0.00000000e+00  2.11e+01 8.38e+00  2.13e+02  5.83e+01  3.54e+00 9.26e+00 5.83e+01  2.32e-01 7.70e-03      1s
   9  -8.21798189e+01  0.00000000e+00  2.14e+01 8.32e+00  2.12e+02  6.07e+01  3.55e+00 9.69e+00 6.07e+01  2.26e-01 7.25e-03      1s
  10  -8.49165050e+01  0.00000000e+00  2.17e+01 8.27e+00  2.11e+02  6.31e+01  3.57e+00 1.01e+01 6.31e+01  2.20e-01 6.84e-03      1s
  11  -8.76185977e+01  0.00000000e+00  2.19e+01 8.21e+00  2.09e+02  6.56e+01  3.59e+00 1.06e+01 6.56e+01  2.15e-01 6.48e-03      1s
  12  -9.02799211e+01  0.00000000e+00  2.22e+01 8.16e+00  2.08e+02  6.81e+01  3.60e+00 1.10e+01 6.81e+01  2.10e-01 6.12e-03      1s
  13  -9.29076514e+01  0.00000000e+00  2.25e+01 8.11e+00  2.07e+02  7.06e+01  3.62e+00 1.15e+01 7.06e+01  2.05e-01 5.81e-03      1s
  14  -9.55036650e+01  0.00000000e+00  2.27e+01 8.07e+00  2.06e+02  7.32e+01  3.64e+00 1.19e+01 7.32e+01  2.00e-01 5.52e-03      2s
  15  -9.80647180e+01  0.00000000e+00  2.30e+01 8.03e+00  2.05e+02  7.58e+01  3.66e+00 1.24e+01 7.58e+01  1.96e-01 5.25e-03      2s
  16  -1.00595280e+02  0.00000000e+00  2.33e+01 7.99e+00  2.04e+02  7.85e+01  3.68e+00 1.29e+01 7.85e+01  1.92e-01 4.99e-03      2s
  17  -1.03094766e+02  0.00000000e+00  2.35e+01 7.95e+00  2.03e+02  8.12e+01  3.70e+00 1.34e+01 8.12e+01  1.88e-01 4.76e-03      2s
  18  -1.05565113e+02  0.00000000e+00  2.38e+01 7.91e+00  2.02e+02  8.39e+01  3.72e+00 1.39e+01 8.39e+01  1.84e-01 4.54e-03      2s
  19  -1.08008257e+02  0.00000000e+00  2.40e+01 7.88e+00  2.02e+02  8.67e+01  3.74e+00 1.43e+01 8.67e+01  1.80e-01 4.34e-03      2s
  20  -1.10426129e+02  0.00000000e+00  2.43e+01 7.85e+00  2.01e+02  8.95e+01  3.76e+00 1.49e+01 8.95e+01  1.76e-01 4.15e-03      2s
