
--------------- Linear optimization problem characteristics ---------------
Seed:                    84
Number of variables:     8
Number of constraints:   2

Norm of primal sol:      4.93e+00
Norm of dual sol:        1.00e+01
Norm of dual slacks:     5.00e+00

Norm of vector b:        2.00e+00
Norm of vector c:        9.12e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.275 +0.031 -0.065 +0.137 -0.094 +0.025 +0.393 -0.097]
                          [+0.059 +0.376 +0.103 +0.293 +0.066 +0.623 +0.346 +0.472]]

RHS vector b:            [-0.580 +1.914]
Obj vector c:            [+0.019 -3.733 -0.865 +1.662 -0.444 -6.142 -2.900 -4.403]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.202 +1.626 +1.064 +0.000 +4.349 +0.574 +0.000 +1.135]
Dual slacks:              [+0.000 +0.000 +0.000 +4.820 +0.000 +0.000 +1.331 +0.000]
Dual variables:           [-2.159 -9.764]

Optimal objective:       -1.74361091e+01
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0  -2.20935024e+02  0.00000000e+00  2.70e+01 1.64e+01  3.22e+02  3.18e+01  4.00e+00 1.00e+00 3.18e+01  6.19e-01 5.29e-01      0s
   1  -2.27788254e+02  0.00000000e+00  2.77e+01 1.63e+01  3.18e+02  8.80e+01  7.41e+00 6.20e+00 8.80e+01  1.92e-01 1.15e-02      0s
   2  -2.30663933e+02  0.00000000e+00  2.80e+01 1.62e+01  3.17e+02  9.41e+01  7.81e+00 6.75e+00 9.41e+01  1.83e-01 4.43e-03      1s
   3  -2.33498220e+02  0.00000000e+00  2.82e+01 1.61e+01  3.16e+02  9.67e+01  7.98e+00 6.98e+00 9.67e+01  1.79e-01 4.22e-03      1s
   4  -2.18591799e+02 -1.78651925e+00  2.64e+01 1.51e+01  2.98e+02 *7.54e-02  8.16e+00 7.22e+00 9.94e+01  5.83e-01 6.45e-02      1s
   5  -2.21607938e+02 -1.78651925e+00  2.67e+01 1.50e+01  2.96e+02  8.39e+01  7.20e+00 6.43e+00 8.39e+01  1.99e-01 5.35e-03      1s
   6  -2.24578532e+02 -1.78651925e+00  2.70e+01 1.49e+01  2.95e+02  8.64e+01  7.36e+00 6.67e+00 8.64e+01  1.95e-01 5.08e-03      1s
   7  -2.27511861e+02 -1.78651925e+00  2.73e+01 1.49e+01  2.93e+02  8.90e+01  7.53e+00 6.92e+00 8.90e+01  1.91e-01 4.83e-03      2s
   8  -2.30413169e+02 -1.78651925e+00  2.76e+01 1.48e+01  2.92e+02  9.15e+01  7.71e+00 7.17e+00 9.15e+01  1.87e-01 4.61e-03      2s
   9  -2.33284777e+02 -1.78651925e+00  2.79e+01 1.47e+01  2.91e+02  9.41e+01  7.88e+00 7.43e+00 9.41e+01  1.83e-01 4.41e-03      2s
  10  -2.18342687e+02 -3.42919801e+00  2.61e+01 1.38e+01  2.74e+02 *2.09e-02  8.05e+00 7.69e+00 9.68e+01  5.85e-01 6.49e-02      2s
  11  -2.21384884e+02 -3.42919801e+00  2.64e+01 1.37e+01  2.73e+02  8.17e+01  7.11e+00 6.84e+00 8.17e+01  2.03e-01 5.57e-03      2s
  12  -2.24387841e+02 -3.42919801e+00  2.67e+01 1.36e+01  2.71e+02  8.41e+01  7.28e+00 7.11e+00 8.41e+01  1.99e-01 5.29e-03      2s
  13  -2.27359836e+02 -3.42919801e+00  2.70e+01 1.35e+01  2.70e+02  8.67e+01  7.45e+00 7.38e+00 8.67e+01  1.94e-01 5.05e-03      3s
  14  -2.30297290e+02 -3.42919801e+00  2.73e+01 1.35e+01  2.69e+02  8.92e+01  7.62e+00 7.65e+00 8.92e+01  1.90e-01 4.81e-03      3s
  15  -2.33199638e+02 -3.42919801e+00  2.76e+01 1.34e+01  2.68e+02  9.18e+01  7.80e+00 7.93e+00 9.18e+01  1.86e-01 4.58e-03      3s
  16  -2.36074992e+02 -3.42919801e+00  2.79e+01 1.34e+01  2.67e+02  9.44e+01  7.97e+00 8.21e+00 9.44e+01  1.83e-01 4.39e-03      3s
  17  -2.20892105e+02 -4.92167040e+00  2.61e+01 1.25e+01  2.51e+02 *6.61e-02  8.15e+00 8.50e+00 9.70e+01  5.86e-01 6.53e-02      3s
